dataset,homogeneity_delta_mean,intervention_effect_ci_high,intervention_effect_ci_low,intervention_effect_mean,mixed_count,mixed_mean_family_diversity,model,paired_question_count,same_count,same_mean_family_diversity,subject
mmlu,0.0,0.0,0.0,0.0,1,0.44064544961534635,gemini-2.5-flash-lite,1,1,0.44064544961534635,college_mathematics
mmlu,-0.4293851086064928,0.421674610487469,0.421674610487469,0.421674610487469,1,0.8718306279398222,gpt-4o-mini,1,1,0.45015601745235323,college_mathematics
mmlu,0.2571527172081395,0.13805697895340463,0.13805697895340463,0.13805697895340463,1,0.7325176452637638,qwen2.5-7b-instruct,1,1,0.5944606663103592,college_mathematics
mmlu,-0.21645158616777857,0.3609640474436812,0.03892297892083818,0.15245621439754684,3,0.4373652770503535,deepseek-chat,3,3,0.28490906265280663,college_medicine
mmlu,-0.1546663885595412,0.27874778863993843,-0.2646804326436821,0.05630078258649118,3,0.3791593862119276,gemini-2.5-flash-lite,3,3,0.3228586036254364,college_medicine
mmlu,0.12708002489186274,0.13283970704857906,-0.24106541033133042,-0.02898396576962468,3,0.46960089332305605,gpt-4o-mini,3,3,0.49858485909268074,college_medicine
mmlu,0.04433066665213783,0.04934027079408737,-0.34320898168528563,-0.18398111566185948,3,0.41395389346996364,qwen2.5-7b-instruct,3,3,0.5979350091318231,college_medicine
mmlu,-0.2788367591181148,0.343867337206479,-0.008512953909601384,0.1676771916484388,2,0.7649949689165753,deepseek-chat,2,2,0.5973177772681364,college_physics
mmlu,-0.17512888309718638,0.2526748332105768,0.0275419919325956,0.1401084125715862,2,0.5807538621869326,gemini-2.5-flash-lite,2,2,0.44064544961534635,college_physics
mmlu,0.2042009951420807,-0.05230053396887724,-0.27283495752061193,-0.16256774574474459,2,0.5272256810215102,gpt-4o-mini,2,2,0.6897934267662549,college_physics
mmlu,-0.23346526427960193,0.32532942311638713,0.017222475722509012,0.17127594941944807,2,0.7191245958500452,qwen2.5-7b-instruct,2,2,0.5478486464305972,college_physics
mmlu,-0.06667043688688912,0.13757937026575062,-0.17396081339415959,-0.01819072156420448,2,0.40881859636662315,deepseek-chat,2,2,0.42700931793082764,computer_security
mmlu,0.008735056842575861,0.04312530992308522,0.0,0.02156265496154261,2,0.22032272480767318,gemini-2.5-flash-lite,2,2,0.19876006984613057,computer_security
mmlu,0.2707759755581099,0.015306130230183512,-0.36096404744368116,-0.17282895860674882,2,0.17001926143206997,gpt-4o-mini,2,2,0.34284822003881876,computer_security
mmlu,-0.3415185475280791,0.3769083260616678,0.31944160542062056,0.34817496574114415,2,0.7387053622873554,qwen2.5-7b-instruct,2,2,0.39053039654621124,computer_security
mmlu,-0.19575164471128867,0.25762664115694534,-0.11162146764187708,0.049095054986107445,3,0.7431816499594386,deepseek-chat,3,3,0.6940865949733311,conceptual_physics
mmlu,-0.23346504839105495,0.4568829317161203,-0.32787537665900013,0.14584807169263142,3,0.6406676940149055,gemini-2.5-flash-lite,3,3,0.4948196223222741,conceptual_physics
mmlu,0.1138336146342334,0.355671773521086,-0.07404321547893367,0.12803049697350763,3,0.5903406470120696,gpt-4o-mini,3,3,0.46231015003856185,conceptual_physics
mmlu,-0.09926410724216345,0.27874954998790974,-0.4980962046911975,-0.05084075161566581,3,0.6273808902033121,qwen2.5-7b-instruct,3,3,0.678221641818978,conceptual_physics
mmlu,-0.22010123699637255,0.10915527103063827,-0.1759650169716643,-0.01885208950450355,3,0.6011400859951509,deepseek-chat,3,3,0.6199921754996544,electrical_engineering
mmlu,-0.1011557684254808,0.1268700921483396,-0.08808692225923409,0.011105467727494526,3,0.4846663572586943,gemini-2.5-flash-lite,3,3,0.4735608895311998,electrical_engineering
mmlu,-0.17216112905255654,0.36714119494722447,-0.01771964923276409,0.1156577326512289,3,0.525435949020672,gpt-4o-mini,3,3,0.40977821636944317,electrical_engineering
mmlu,0.037909194984933725,-0.047115035143581674,-0.2833462224894365,-0.1552164117132685,3,0.1960348778788523,qwen2.5-7b-instruct,3,3,0.35125128959212076,electrical_engineering
mmlu,-0.30195151547737414,0.7682439488534497,0.05674020356797904,0.38924902598278704,3,0.6963892380533409,deepseek-chat,3,3,0.30714021207055375,elementary_mathematics
mmlu,-0.13103939502368223,0.3609640474436812,-0.16462313342583224,0.06544697133928297,3,0.5790162357618006,gemini-2.5-flash-lite,3,3,0.5135692644225176,elementary_mathematics
mmlu,0.12499030114962512,0.15483499176321713,-0.1897406418816836,-0.07280301769884945,3,0.5386428668682707,gpt-4o-mini,3,3,0.6114458845671201,elementary_mathematics
mmlu,-0.14113396080672583,0.14231610242039938,-0.0646967016270581,0.03514561039025003,3,0.7316843662272848,qwen2.5-7b-instruct,3,3,0.6965387558370347,elementary_mathematics
mmlu,0.13456218057375766,0.0,-0.08942500404706522,-0.033606910511893164,3,0.39910447629436757,deepseek-chat,3,3,0.4327113868062607,formal_logic
