seed,arm,update_index,parent_team_hash,target_member,target_selection_rank,candidate_id,candidate_stage,source_slot,generation_key,valid,feasible,common_safe_outcome,sanitized_rejection_reasons,target_gain,vote_gain_count,vote_loss_count,vote_net_gain,selected_as_branch_winner,winner,branch_rank,cell_rank
59,HYBRID_BASE,3,110e1ded567a914620f9b457e3d6b3a4b970d1358d529cc111a94f5fe4a4e3f8,0,2,18a6c0b0cd8332a2240ffd3a09fff4873785fa288aaf9339aa0a28bc5d57f58b,revision,1,6d5fa813cb89abc8c46a05ecc11504e0c8f93d6ba8cd75ef07f045507df7e934,True,True,passed,[],3,3,3,0,False,False,4,NA
59,HYBRID_BASE,3,110e1ded567a914620f9b457e3d6b3a4b970d1358d529cc111a94f5fe4a4e3f8,0,2,2b49202d10dfb6e653170e3225b5d8f8abf64e48974efef6e191717961f08e2e,revision,2,80274d1a2fe9cf7b63eae630243a95d220c97e957fd16b5e7063cff24c17d5fc,True,True,passed,[],6,4,2,2,True,True,1,1
59,HYBRID_BASE,3,110e1ded567a914620f9b457e3d6b3a4b970d1358d529cc111a94f5fe4a4e3f8,0,2,625ae74cad68977ab75f3c4c4660ea77a9fdfe68836a5376cfb05e68559e9210,source,1,99a0bbc364b327c2c043ef637253a096150f628ed51ba18dc546c9f84f90abbb,True,True,passed,[],4,4,3,1,False,False,3,NA
59,HYBRID_BASE,3,110e1ded567a914620f9b457e3d6b3a4b970d1358d529cc111a94f5fe4a4e3f8,0,2,fef81df4337d37aeef560b44ec3da7a7690f9a3003f16104a8513f131c00d6f5,source,2,8423ab8d691052d1a9d9eaecc6fd8d370e1e97fec5bbd7ddb9e07755073dd927,True,True,passed,[],5,4,2,2,False,False,2,NA
59,HYBRID_BASE,4,ee700831d22cf497ac78a0d386343f8e04495889d7a98a5d9c51c6a15b0a156b,2,2,9090860c6d4d97dd32e9617acb538b83c50b7b5bf7762198e6f557cf98025e33,source,1,638719dc30fc1c0380cc8b00e29145c50bd30355cb70a6b8acc60b8a544df03a,True,False,rejected,"['no_target_or_vote_progress', 'team_vote_regression']",0,1,2,-1,False,False,NA,NA
59,HYBRID_BASE,4,ee700831d22cf497ac78a0d386343f8e04495889d7a98a5d9c51c6a15b0a156b,2,2,ebe43211a24197604fbf9128b02f8299fe0603138a1d5933b9fa8c5bd4816b2f,source,2,614c6d4eadccedb0e24d97b3e15a47c1d542a2a740ec320f4aef44473bc40493,True,True,passed,[],2,0,0,0,True,True,1,1
59,HYBRID_BASE,5,c73d2bb9b0df443fc8bc740ca2be2aa3f899bf307da70c69f44276d050978237,0,2,0820779cb2fc313b17d795f35b3bf56f699d70e01b16c1536b8c2079f764c497,revision,1,ff3a2c2ebcef8621e8f93a4c29f0b219ccccc6aa89b07d700498b4c6f400d1cf,True,True,passed,[],0,1,0,1,True,True,1,1
59,HYBRID_BASE,5,c73d2bb9b0df443fc8bc740ca2be2aa3f899bf307da70c69f44276d050978237,0,2,98de785f9876e17351126ed0c9b3a90fc6dab9851f4d653f1e1d7dae985bb175,source,1,aa3d461d330e9299598563dcd14bd38f54c153e593f7c4fed1dbc08f16d12eda,True,False,rejected,"['no_target_or_vote_progress', 'target_regression']",-1,1,1,0,False,False,NA,NA
59,HYBRID_BASE,5,c73d2bb9b0df443fc8bc740ca2be2aa3f899bf307da70c69f44276d050978237,0,2,e79785ea22942ea9f140c1b2f32622703b9e8afec56eb86b70f755461319a671,revision,2,bee89b7f9810d7486c170f6ee5501f4595664e191b6efa7be6836231d78b805c,True,True,passed,[],2,0,0,0,False,False,2,NA
59,HYBRID_BASE,5,c73d2bb9b0df443fc8bc740ca2be2aa3f899bf307da70c69f44276d050978237,0,2,eab31e253a515e6a50079185d3b0efe0ff732f12245e558d258f15fcf56f7ab1,source,2,d2d09570bb4bb63c6ab9f407e910ce6b07bd1a5e7ab47536613709744973bad6,True,False,rejected,"['no_target_or_vote_progress', 'target_regression', 'team_vote_regression']",-4,0,1,-1,False,False,NA,NA
59,HYBRID_BASE,6,0e9537d162d88fd91a16fa0d04ec3ee3e18506fae03718116d132d59c700d576,1,2,0d8c9d31254104e21830972984fc771a3362e878df6e58f2bbe40b7fdc014696,revision,1,0e5039e8a076719e2372e1bad1ad79d57c50d025c8e2e788c9f564e621d68730,True,False,rejected,"['no_target_or_vote_progress', 'target_regression', 'team_vote_regression']",-10,1,2,-1,False,False,NA,NA
59,HYBRID_BASE,6,0e9537d162d88fd91a16fa0d04ec3ee3e18506fae03718116d132d59c700d576,1,2,128319e9c633a46bb7051ce61e6684508c25b81d80c8112e934c2a40fde9baf1,source,1,38a3d24fa72c8bce6fe26da2a02fbbe4f1e46621c0991458b19f19b794efe73a,True,False,rejected,"['no_target_or_vote_progress', 'target_regression', 'team_vote_regression']",-4,1,2,-1,False,False,NA,NA
59,HYBRID_BASE,6,0e9537d162d88fd91a16fa0d04ec3ee3e18506fae03718116d132d59c700d576,1,2,6cdf906030db8864f5f1d29993c45d93091b895e74a04c170cca4db407302f32,source,2,6c1116a73228f5899bfeb3c6b50e9de2ca362f0e11e13ef9eebf633d074cb8ca,True,False,rejected,"['no_target_or_vote_progress', 'target_regression', 'team_vote_regression']",-9,1,2,-1,False,False,NA,NA
59,HYBRID_BASE,6,0e9537d162d88fd91a16fa0d04ec3ee3e18506fae03718116d132d59c700d576,1,2,fc7808fd484f91fde8e760d32bf9f8a9acf2e20fb618c88cc9fee8e8470d53c9,revision,2,4fbe255d218962beced0049aad291827194c79838329c861d5cfc0c1ceb1ce25,True,False,rejected,"['no_target_or_vote_progress', 'target_regression', 'team_vote_regression']",-14,2,3,-1,False,False,NA,NA
59,HYBRID_BASE,7,0e9537d162d88fd91a16fa0d04ec3ee3e18506fae03718116d132d59c700d576,3,2,0354e6f6a9a38d8bd6d2c3366424eb31326ecd1271db5dc22417fa66d28ef12a,source,1,88d55a56c53cd934dac83fce6684daf084bfb5af035ca8aea648c5dc5c7bf4f0,True,False,rejected,['target_regression'],-5,2,1,1,False,False,NA,NA
59,HYBRID_BASE,7,0e9537d162d88fd91a16fa0d04ec3ee3e18506fae03718116d132d59c700d576,3,2,112800395307273191af282b5e705c413d8712365a556a73207a719858872b3f,source,2,cf11716227b0c911402000beeb9279371e48e49c918799d3e407bf11326dfc77,True,False,rejected,['target_regression'],-5,2,1,1,False,False,NA,NA
59,HYBRID_BASE,7,0e9537d162d88fd91a16fa0d04ec3ee3e18506fae03718116d132d59c700d576,3,2,22d619e710e9576f20e9db13714f25303f2042d63f283479d26eeb363b75ed1f,revision,1,49f6da87459a27c8b5147c5963ec527eb1c120ccc2ed2ba4e820b4c3dcf1d770,True,False,rejected,['target_regression'],-2,3,2,1,False,False,NA,NA
59,HYBRID_BASE,7,0e9537d162d88fd91a16fa0d04ec3ee3e18506fae03718116d132d59c700d576,3,2,9b54bc4a79f40aca6451e359be5ad843997f90d405af7556431ed29af14872d1,revision,2,e974e830c72bb9b67e45a0371ddd15f7473819fa5beaea324f24aa49fe9e8b5f,True,False,rejected,['no_target_or_vote_progress'],0,0,0,0,False,False,NA,NA
60,W1_TOP2,1,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,3,1,1cc04164f084f4ada7e14208e5141144cc1a67c712e2343b8cac326bd648eb18,revision,1,566e05019ab46b984fd4b43c8e898867322cc15158774d2e39a700c0fbe7c9b0,True,True,passed,[],4,0,0,0,False,False,2,NA
60,W1_TOP2,1,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,3,1,598cb6576fa931889bf462b239b3f3b82f894d325d8a40a6c91746ade1370424,revision,2,971400061c52a04eb56ca14624ffddfc2a13d95ef65f6bb2bcf0f1f85eef4d18,True,True,passed,[],7,0,0,0,True,True,1,1
60,W1_TOP2,1,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,3,1,60dcf8cce139d35b4efec03a34ec882e34b1cde128411bd070978086d5f46550,source,1,f5bdc6d1510e3931a3b7040c79d17495492e23eb1e67bcdfe71825ec01e5f1ed,True,False,rejected,"['no_target_or_vote_progress', 'target_regression']",-3,0,0,0,False,False,NA,NA
60,W1_TOP2,1,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,3,1,d859199db6bd3bae58bc39f83b97eab77a6501c8854ee8f0accfbba2c5a1be15,source,2,e195cab560b6765bcd6b18405c20f9b5dd68d976c77cb7ee09cf878ca4276ab1,True,False,rejected,"['no_target_or_vote_progress', 'target_regression']",-2,0,0,0,False,False,NA,NA
60,W1_TOP2,2,bd97ba28675858e40c992fe6664b1f96fe8ee09962acc437fbe088365aae7e42,3,2,598cb6576fa931889bf462b239b3f3b82f894d325d8a40a6c91746ade1370424,revision,1,148ce712c9f488362470aa014180e775d872ce2a77bc822ea8f8784757a87787,True,False,rejected,['no_target_or_vote_progress'],0,0,0,0,False,False,NA,NA
60,W1_TOP2,2,bd97ba28675858e40c992fe6664b1f96fe8ee09962acc437fbe088365aae7e42,3,2,ce7944b85cba5a749d8afa0960ce3a929df944c7622ff19682c061dd0b0092c0,source,1,a50eed3063f1644c8def7dbd905c8b5219b3f4a4691930409c7731b9b5937eb2,True,False,rejected,"['no_target_or_vote_progress', 'target_regression']",-5,0,0,0,False,False,NA,NA
60,W1_TOP2,2,bd97ba28675858e40c992fe6664b1f96fe8ee09962acc437fbe088365aae7e42,3,2,d859199db6bd3bae58bc39f83b97eab77a6501c8854ee8f0accfbba2c5a1be15,source,2,8bbf1c03eb1352f9ba230f7eaf45814419e17e8c6b243f2585c2c0506f721a3d,True,False,rejected,"['no_target_or_vote_progress', 'target_regression']",-9,0,0,0,False,False,NA,NA
60,W1_TOP2,2,bd97ba28675858e40c992fe6664b1f96fe8ee09962acc437fbe088365aae7e42,3,2,fc89a44dea71c93f574525a66cf0934929d0a0ea7980414d56c8327604c1d1d0,revision,2,b21f5242d989085d16538615f81e181d00d449f91c6f4023dc0ad3a34a93b096,True,False,rejected,"['no_target_or_vote_progress', 'target_regression']",-5,0,0,0,False,False,NA,NA
60,W1_TOP2,3,bd97ba28675858e40c992fe6664b1f96fe8ee09962acc437fbe088365aae7e42,4,1,0e6f5886b0c0af1f7f738cc110782044e83f3b06c95f1720c1a8f533e5361e73,source,1,32d76dd6bc46f4ea52c7a9f100ad62099e9474d1ee10386409c3b110d9505cd5,True,False,rejected,"['no_target_or_vote_progress', 'target_regression']",-5,0,0,0,False,False,NA,NA
60,W1_TOP2,3,bd97ba28675858e40c992fe6664b1f96fe8ee09962acc437fbe088365aae7e42,4,1,36dd40d0f56bf17300ae0457a5cf3a949e9c7a34beb1188a8eda187996d9435f,revision,1,a7e1897d56032d743707876e086b88e95b28345456a03638f3cfce4d0d2e5431,True,True,passed,[],6,0,0,0,True,True,1,1
60,W1_TOP2,3,bd97ba28675858e40c992fe6664b1f96fe8ee09962acc437fbe088365aae7e42,4,1,540e8b9e35f5bec5ee69e976a4a1b4780dc4356c0d1783581c6424423ad92a88,source,2,9a78f6c97eb51eb4beb8f8e65e014a414583cb7efc2f56983910db30214e40e4,True,True,passed,[],2,0,0,0,False,False,2,NA
60,W1_TOP2,3,bd97ba28675858e40c992fe6664b1f96fe8ee09962acc437fbe088365aae7e42,4,1,5c8f13dd2e84a9b9d5aaf11a1756c8a3a88348f0b73a79960a2681901a53cfa1,revision,2,444bfec0870c56b6b6446820963975830a05e5b96df98bd6e8fed86ee72a4e1f,True,False,rejected,"['no_target_or_vote_progress', 'target_regression']",-7,0,0,0,False,False,NA,NA
60,W1_TOP2,3,bd97ba28675858e40c992fe6664b1f96fe8ee09962acc437fbe088365aae7e42,2,2,09dd5bfe64440dec7f2b3f8b82020745aea9a89d5bdf0b9f5f02377f846ddeab,revision,1,188bc1a7d92b3db6f9650ce98c322d186e6916bb70835514d73bcfb072cb0b34,True,False,rejected,"['no_target_or_vote_progress', 'target_regression']",-4,0,0,0,False,False,NA,NA
60,W1_TOP2,3,bd97ba28675858e40c992fe6664b1f96fe8ee09962acc437fbe088365aae7e42,2,2,9295f95026a7d77c9257be2185f9bbde3d36831ff957caa10df78f620609b1d2,source,1,7f51866e7329926991829bfe95f14a569a5fd13b2b26f85977dac1b6171d69c0,True,False,rejected,"['no_target_or_vote_progress', 'target_regression']",-11,0,0,0,False,False,NA,NA
