G0_count,G1_count,G2_count,G3_count,G4_count,G5_count,arm,mean_G,mean_H,mean_M,mean_off_diagonal_same_wrong_excess,mean_pairwise_correctness_correlation,n_eff,oracle_accuracy,oracle_covered_but_vote_wrong_rate,oracle_minus_vote_gap,seed,split,total_pivotal_correct,total_unique_correct,vote_accuracy
15,0,5,5,2,23,S4,2.96,2.02,0.94,0.5932598714416896,0.7241091291136984,1.2832237812382719,0.7,0.1,0.09999999999999998,56,validation,15,0,0.6
40,0,0,0,0,85,S0,3.4,1.6,1.8,0.625,1.0,1.0,0.68,0.0,0.0,57,test,0,0,0.68
24,0,0,0,0,51,S0,3.4,1.6,1.8,0.4027777777777778,1.0,1.0,0.68,0.0,0.0,57,train,0,0,0.68
17,0,0,0,0,33,S0,3.3,1.7,1.6,0.6020761245674741,1.0,1.0,0.66,0.0,0.0,57,validation,0,0,0.66
11,6,16,14,21,57,S1,3.592,1.336,2.256,0.5555230575425083,0.43356891331350533,1.828637867601086,0.912,0.176,0.17600000000000005,57,test,39,6,0.736
5,4,4,9,19,34,S1,3.8,1.1733333333333333,2.6266666666666665,0.5540563140193495,0.3888328940484133,1.956693231744059,0.9333333333333333,0.10666666666666667,0.10666666666666669,57,train,24,4,0.8266666666666667
10,5,3,5,8,19,S1,3.06,1.88,1.18,0.6089870603863394,0.5933658214559272,1.482156340936473,0.8,0.16,0.16000000000000003,57,validation,12,5,0.64
19,9,12,4,15,66,S2,3.48,1.472,2.008,0.5330333201744492,0.6386667000476972,1.4066015975763568,0.848,0.168,0.16799999999999993,57,test,12,9,0.68
7,9,8,2,11,38,S2,3.533333333333333,1.4666666666666666,2.066666666666667,0.41334033613445376,0.5434019244851898,1.575494035776483,0.9066666666666666,0.22666666666666666,0.22666666666666657,57,train,6,9,0.68
9,3,7,0,2,29,S2,3.4,1.58,1.82,0.6125996810207337,0.7328622469459767,1.2717957210016906,0.82,0.2,0.19999999999999996,57,validation,0,3,0.62
29,1,7,9,3,76,S3,3.472,1.416,2.056,0.514476301309559,0.7896293715182747,1.2023515632061261,0.768,0.064,0.06400000000000006,57,test,27,1,0.704
