G_after,G_before,H_after,H_before,M_after,M_before,contrast,correct_member_ids_after,correct_member_ids_before,coverage_remains_but_vote_lost,oracle_lost,question_hash,seed,taxonomy,wrong_coalition_strengthened
2,4,3,1,-1,3,S1_to_S2,2|3,0|2|3|4,1,0,32e49ff79ff85df7c9facc0dbc3721013287a4d4e6691eff014b55e28261d353,57,WRONG_COALITION_STRENGTHENED,1
2,5,3,0,-1,5,S1_to_S2,2|3,0|1|2|3|4,1,0,140270c4b419623845656cd6dbcd140e5fb3ec99417eeb2c4c096efcb2156ba1,57,WRONG_COALITION_STRENGTHENED,1
2,4,2,1,0,3,S1_to_S4,0|3,0|1|2|3,1,0,5147ccce636394d1773531bbccd6f904010397f216f40583146c0a0b86a66ad4,57,WRONG_COALITION_STRENGTHENED,1
1,4,4,1,-3,3,S1_to_S4,3,0|1|3|4,1,0,c71cafbaa8501253f35fe2c44c578c813cd743c92019dcdee3df64bd25acf526,57,WRONG_COALITION_STRENGTHENED,1
0,3,5,2,-5,1,S1_to_S4,,0|2|4,0,1,336c5214ed9dc2195afc62857d20c59c336688efb3a31e70ec50655e4f418797,57,ORACLE_LOST,0
2,3,3,2,-1,1,S1_to_S4,2|4,1|2|3,1,0,bbafe69619b57815780fbc34195d2b71286fc4d46d4f82ba5dd8e28fd0ae05fc,57,WRONG_COALITION_STRENGTHENED,1
0,4,3,1,-3,3,S1_to_S4,,0|2|3|4,0,1,87a94dce012ec1ba6bcb62819ba69dd4e56b8b8b7cfcdebc9737206e4fdc020b,57,ORACLE_LOST,0
1,3,4,2,-3,1,S1_to_S4,1,0|1|4,1,0,417e36ad2691d36166252564d2e127805a6142dd408c85a44d1cd8adcc2e2e94,57,WRONG_COALITION_STRENGTHENED,1
2,3,3,2,-1,1,S1_to_S4,2|4,0|1|3,1,0,30d1c8a11d6c3abe5d3c919ad986f07d044dbb2d632cf935c6ef4244ac0cb4f5,57,WRONG_COALITION_STRENGTHENED,1
1,4,4,1,-3,3,S1_to_S4,1,1|2|3|4,1,0,4733520e8a6955819b0b16d2c4075184e95d50bd8b9dab0d50e4a3c22a2bfb16,57,WRONG_COALITION_STRENGTHENED,1
0,3,5,2,-5,1,S1_to_S4,,2|3|4,0,1,6a5e390c06bbc75192f83c92a376b7eb717c48b0de5e44947d34d8f131bc1b1e,57,ORACLE_LOST,0
2,5,3,0,-1,5,S1_to_S4,2|4,0|1|2|3|4,1,0,7dab8ad9c205723dbebad7a102e8c470a0442eae2732c0cfb647d8f57a0a49e5,57,WRONG_COALITION_STRENGTHENED,1
0,3,4,1,-4,2,S1_to_S4,,1|2|4,0,1,7d44d58e097a9ac47c0853ae5265a63ab7770191c62520d7fc54fb1ad8824164,57,ORACLE_LOST,0
1,5,3,0,-2,5,S1_to_S4,2,0|1|2|3|4,1,0,140270c4b419623845656cd6dbcd140e5fb3ec99417eeb2c4c096efcb2156ba1,57,WRONG_COALITION_STRENGTHENED,1
1,4,4,1,-3,3,S1_to_S2,0,0|1|3|4,1,0,5147ccce636394d1773531bbccd6f904010397f216f40583146c0a0b86a66ad4,58,WRONG_COALITION_STRENGTHENED,1
1,3,4,2,-3,1,S1_to_S2,0,0|1|2,1,0,8e5fdb00c5ebba3874a89ec88ac1a1edc1efcb9b406045143153cccee71fff2a,58,WRONG_COALITION_STRENGTHENED,1
1,5,4,0,-3,5,S1_to_S2,0,0|1|2|3|4,1,0,a122a5f0d5e0ab3e140db1b1ea573a23f1f9d90c9249cccc7a56648fa9214ab1,58,WRONG_COALITION_STRENGTHENED,1
1,3,4,2,-3,1,S1_to_S2,0,0|2|3,1,0,30d1c8a11d6c3abe5d3c919ad986f07d044dbb2d632cf935c6ef4244ac0cb4f5,58,WRONG_COALITION_STRENGTHENED,1
1,4,4,1,-3,3,S1_to_S2,0,0|1|2|4,1,0,bf93eab7018c887760b53dcdf65392139af85b2b9d87ed35da8b2c58df7257e5,58,WRONG_COALITION_STRENGTHENED,1
1,5,4,0,-3,5,S1_to_S2,0,0|1|2|3|4,1,0,31adc4f0af2001990841b3a963c1162f55dad7da3175b0b638d325268760880c,58,WRONG_COALITION_STRENGTHENED,1
1,3,4,2,-3,1,S1_to_S2,0,0|2|4,1,0,7dab8ad9c205723dbebad7a102e8c470a0442eae2732c0cfb647d8f57a0a49e5,58,WRONG_COALITION_STRENGTHENED,1
1,4,4,1,-3,3,S1_to_S2,0,1|2|3|4,1,0,b34b48ca8c7d759caf3d4bdf26e73b3c1635148ed45fc34f76929f3094efa64b,58,WRONG_COALITION_STRENGTHENED,1
1,5,4,0,-3,5,S1_to_S2,0,0|1|2|3|4,1,0,32e49ff79ff85df7c9facc0dbc3721013287a4d4e6691eff014b55e28261d353,58,WRONG_COALITION_STRENGTHENED,1
1,3,4,1,-3,2,S1_to_S2,0,1|2|3,1,0,140270c4b419623845656cd6dbcd140e5fb3ec99417eeb2c4c096efcb2156ba1,58,WRONG_COALITION_STRENGTHENED,1
2,4,2,1,0,3,S1_to_S4,1|3,0|1|3|4,1,0,5147ccce636394d1773531bbccd6f904010397f216f40583146c0a0b86a66ad4,58,WRONG_COALITION_STRENGTHENED,1
2,3,3,2,-1,1,S1_to_S4,3|4,0|2|4,1,0,7dab8ad9c205723dbebad7a102e8c470a0442eae2732c0cfb647d8f57a0a49e5,58,WRONG_COALITION_STRENGTHENED,1
2,3,2,1,0,2,S1_to_S4,1|4,1|2|3,1,0,140270c4b419623845656cd6dbcd140e5fb3ec99417eeb2c4c096efcb2156ba1,58,WRONG_COALITION_STRENGTHENED,1
2,4,2,1,0,3,S1_to_S4,0|2,0|1|3|4,1,0,273d3ab39d65eadf603697b16b3061c2921a6253339862520e8b1d98447a1f6b,58,WRONG_COALITION_STRENGTHENED,1
