case_id,variant,prompt_hash,edit_ratio,edit_char_count,changed_line_count,repair_gain,geometry,feasible
seed49_structural_parent2_target2,m20_current_v15,e04a601a6fbf0c7ae3ca2eb19575f8ed898b80fcfb0de5469eb876556685b855,2.717557251908397,356,1,4,E,False
seed49_structural_parent2_target2,m2d_raw_responsibility_minimal_edit,4fe8e153f7aff7923a08bac5d62385a70daab319b2686404b330fa6554f9f16e,4.290076335877862,562,1,4,A,True
seed49_structural_parent2_target2,m2d_raw_responsibility_minimal_edit,8acd32f825172148484783f436cabc006bef11ffb2ad26203f4d3dae4c8c8293,3.3206106870229006,435,1,4,A,True
seed49_structural_parent2_target2,m2b_diagnosis_minimal_edit,ea1cda87c42ba9f8dbd97a67e28d865a511a9f9fa8c3a6038cee895d4466fab3,3.4885496183206106,457,1,2,A,True
seed49_structural_parent2_target2,m2b_diagnosis_minimal_edit,4879c7e285758069ac836b8652dbef19dae2987217346ffa336df8db8bf25dfd,3.9083969465648853,512,1,4,E,False
seed50_structural_parent1_target3,m2d_raw_responsibility_minimal_edit,8639ced3046a8d45f4a40eec924bf9482f9413d39f82aab224048ab4a69083ee,3.6946564885496183,484,1,3,F,False
seed50_structural_parent1_target3,m2d_raw_responsibility_minimal_edit,2858fc585d36a9b941e57e0d1ff1e82bb89a69d310ea573b531b910c6726bfa7,3.053435114503817,400,1,3,F,False
seed50_structural_parent1_target3,m2b_diagnosis_minimal_edit,59dd9a5624ff9372ebb8743dd7c57595ef227f154fe3a42d5c533793a423ace9,3.0076335877862594,394,1,1,F,False
seed50_structural_parent1_target3,m2b_diagnosis_minimal_edit,a690f96d24f993de33a5bd8357fdc2247c1edacbae36c96b02e1e8964c426803,2.0763358778625953,272,1,2,B,True
seed50_structural_parent1_target3,m20_current_v15,45861a06e3ed623f3fde62c2c4f291541fc18dfa29a9d25242e021ef28af3b52,2.9923664122137406,392,1,2,F,False
seed50_structural_parent1_target3,m20_current_v15,195681f738836860ac9e20aacf31d3ae4c7f9c5c8e85a44acf16e3280c8ff121,2.3053435114503817,302,1,3,F,False
seed50_structural_parent2_target4,m2b_diagnosis_minimal_edit,b3d86c93d9775a00e59a1ca8c051d128528e94bbd4b73f0875431ae997a20d64,3.519083969465649,461,1,1,E,False
seed50_structural_parent2_target4,m2b_diagnosis_minimal_edit,6690692512ecb464125aa5c3a968b6eea1e5f7c7f978eb7fce06170f8fbd7172,3.6793893129770994,482,1,3,A,True
seed50_structural_parent2_target4,m20_current_v15,2bb3c62b81d832580355a4e6e31746736a4cee122f735b349ac2cec07a5b108b,2.7099236641221376,355,1,3,A,True
seed50_structural_parent2_target4,m20_current_v15,f4e5bc24fed4d8b1b61a98a2a3842079e8553482bd5a0609c5fb8a78a4147564,2.351145038167939,308,1,3,A,True
seed50_structural_parent2_target4,m2d_raw_responsibility_minimal_edit,e6a231ca9a1d455f325ef23c9e4e09dc9c1382586e4ace193afc85197c3ed461,2.763358778625954,362,1,3,A,True
seed50_structural_parent2_target4,m2d_raw_responsibility_minimal_edit,a7df5802966cc63a8d93f60625b6f4cd9688732609bd19479b657c943942da13,2.946564885496183,386,1,3,A,True
seed51_structural_parent1_target2,m20_current_v15,ec5c8437711273840aeefe48dc3a3ee1e89009c31645f57c71c4ef95813493ec,2.33587786259542,306,1,2,B,True
seed51_structural_parent1_target2,m20_current_v15,de0f541322044ce2c1550a8cef851d17b0263ced5d23d6ab0ab2c1c0b832245c,2.3587786259541983,309,1,3,B,True
seed51_structural_parent1_target2,m2d_raw_responsibility_minimal_edit,edae9f1c9fc971bed3e9ce1fe1198955dc9afe3d54f64c224013e68dcf0efa45,2.9770992366412212,390,1,1,F,False
seed51_structural_parent1_target2,m2d_raw_responsibility_minimal_edit,a4901dc69574224429fb519512db2bb375019a9ab94149c734ba06dbbc4552e1,2.7709923664122136,363,1,1,F,False
seed51_structural_parent1_target2,m2b_diagnosis_minimal_edit,9e2f2e9483e83f0a73eda2361acd2e9c350dc5622a2ca3829a3d36c62d9a34f5,2.969465648854962,389,1,2,B,True
seed51_structural_parent1_target2,m2b_diagnosis_minimal_edit,583681cd20e45d9cac4259f78e0d24a25951038335da9428520f5f0bed41f4bb,2.6259541984732824,344,1,2,F,False
seed51_structural_parent2_target1,m2d_raw_responsibility_minimal_edit,220abd07d9a8a5f331d9c937c07a351ce062c86d5b66b86bdbca246cb4d8221a,3.3053435114503817,433,1,1,E,False
seed51_structural_parent2_target1,m2d_raw_responsibility_minimal_edit,f75fb4f04bde5f08f8b848607372745379b133e28d7c6bb0c533c9f4f75ca53a,3.053435114503817,400,1,2,A,True
seed51_structural_parent2_target1,m2b_diagnosis_minimal_edit,de44dcffa9a8c4db947e4d971c102d507d48e20aabd55ac57fdd2307ae81175f,3.2519083969465647,426,1,3,A,True
seed51_structural_parent2_target1,m2b_diagnosis_minimal_edit,e4519500eff3b6eca94979a8181014b4833fae8046a17062f3ded3e621a27c37,2.480916030534351,325,1,0,F,False
seed51_structural_parent2_target1,m20_current_v15,9cfc6a25b753ae2e3bb61da068999f5991b15855b617b84e35250c70a265cf0b,2.931297709923664,384,1,0,E,False
seed51_structural_parent2_target1,m20_current_v15,325f21a129b460997c9fea9057f1dab6526b0bbb563f888027a1636feed17497,2.450381679389313,321,1,3,A,True
