event_id,seed,setting,example_id,creation_update,creation_accepted_rank,creating_target_agent,creating_agent_id,G_before,G_after,vote_before,vote_after,repair_distance_after,first_reinforcement_update,latency_to_reinforcement,reinforcing_agent_ids,first_vote_conversion_update,latency_to_vote_conversion,final_G,final_vote_correct,final_repair_distance,fate,coverage_lost_after_creation
48-S1-9,48,S1,fa905aa1108342ffe7464ff085f98ac61050842972cb97610d172f24fc300e52,1,1,0,0,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
48-S1-10,48,S1,4e480785c7153bcca216b7f0d10c6385c7ce7ea28e098f3c41e9149f10b738cf,2,2,0,0,0,1,False,False,2,13,2,[4],17,3,3,True,0,rescued_to_vote,False
48-S1-11,48,S1,a0fff51d451e031114e7c956fc98a17db1613a0c7393fcc8617a76ff719c1ae0,2,2,0,0,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
48-S1-12,48,S1,a25893dde99448f79531912c0dc8e1fa1c208680d9854f351577121d4b5f534f,2,2,0,0,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
48-S1-13,48,S1,b8cfcb730599812475ee246e4e5dd857c79331bdf3202761aa7a4acf893be2b5,2,2,0,0,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
48-S1-14,48,S1,55d982ac6e7025a805e7a9ec459148237716daae0c5e6475fcd9b50da7120a0e,2,2,0,0,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
48-S1-15,48,S1,99dc366eb8624ce1db6deaa5dbadbfd32a86d773d9fd7ceb3549895a41307717,2,2,0,0,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
48-S1-16,48,S1,790db948bdc0cf00e68ec747f91f0d67c6c598065d7a536119e844ed87c3b76d,2,2,0,0,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
48-S2-0,48,S2,395899214628d88ce3606f769ec8aa9bb61f260cfe3c2cb38b880cefaf567d88,0,1,1,1,0,1,False,False,2,1,1,[0],2,2,3,True,0,rescued_to_vote,False
48-S2-1,48,S2,db1522cb1e9faea66693043bdba783103f021f249ff6c80e50578f3e1395e18e,0,1,1,1,0,1,False,False,2,1,1,[0],2,2,3,True,0,rescued_to_vote,False
48-S2-2,48,S2,dd08d6581b3e3877846a4a99f992a9d9cfc9ff7c67f0036184d3a213c0f97ca1,0,1,1,1,0,1,False,False,2,1,1,[0],2,2,3,True,0,rescued_to_vote,False
48-S2-3,48,S2,38100a39707ef9399acc5e4ca32d137c48e41fc8da463d881e43d2b887fca075,0,1,1,1,0,1,False,False,2,1,1,[0],4,3,3,True,0,rescued_to_vote,False
48-S2-4,48,S2,c71e4045e51e39498a9f8bd5f084e3d402588c84b0e5db4e870547eeb2d843bd,0,1,1,1,0,1,False,False,2,1,1,[0],2,2,3,True,0,rescued_to_vote,False
48-S2-5,48,S2,a0fff51d451e031114e7c956fc98a17db1613a0c7393fcc8617a76ff719c1ae0,0,1,1,1,0,1,False,False,2,16,5,[0],,,2,False,1,reinforced_but_still_vote_wrong,False
48-S2-6,48,S2,e5ea73458c15216da1433eb90dee13dd59e142b50b4277f2510ddd1340e29ebd,0,1,1,1,0,1,False,False,2,1,1,[0],2,2,3,True,0,rescued_to_vote,False
48-S2-7,48,S2,55d982ac6e7025a805e7a9ec459148237716daae0c5e6475fcd9b50da7120a0e,0,1,1,1,0,1,False,False,2,1,1,[0],,,1,False,2,singleton_until_end,False
48-S2-8,48,S2,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,0,1,1,1,0,1,False,False,2,1,1,[0],2,2,3,True,0,rescued_to_vote,False
48-S2-9,48,S2,cd704d3f46a5b79c91695002616f29b6a86eb6104261c5a9317a87dc80e5001b,0,1,1,1,0,1,False,False,2,1,1,[0],2,2,3,True,0,rescued_to_vote,False
48-S2-10,48,S2,f64a3984529e409068310bc14ee855cee9ba35f94babcb79c9538c6019daeb12,0,1,1,1,0,1,False,False,2,1,1,[0],2,2,3,True,0,rescued_to_vote,False
48-S2-11,48,S2,fa905aa1108342ffe7464ff085f98ac61050842972cb97610d172f24fc300e52,0,1,1,1,0,1,False,False,2,1,1,[0],4,3,3,True,0,rescued_to_vote,False
48-S2-12,48,S2,4e480785c7153bcca216b7f0d10c6385c7ce7ea28e098f3c41e9149f10b738cf,2,3,4,4,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
48-S2-13,48,S2,e39c7bfc2d60a8ac6ae2571f14cc7b9c6092369df29244754b49bd6b186692b6,10,5,1,1,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
48-S2-14,48,S2,b8cfcb730599812475ee246e4e5dd857c79331bdf3202761aa7a4acf893be2b5,16,6,0,0,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
49-S0-0,49,S0,395899214628d88ce3606f769ec8aa9bb61f260cfe3c2cb38b880cefaf567d88,1,1,1,1,0,1,False,False,2,9,2,[4],13,3,3,True,0,rescued_to_vote,False
49-S0-1,49,S0,4e480785c7153bcca216b7f0d10c6385c7ce7ea28e098f3c41e9149f10b738cf,1,1,1,1,0,1,False,False,2,,,[],,,0,False,3,coverage_lost_again,True
49-S0-2,49,S0,dd08d6581b3e3877846a4a99f992a9d9cfc9ff7c67f0036184d3a213c0f97ca1,1,1,1,1,0,1,False,False,2,9,2,[4],18,4,3,True,0,rescued_to_vote,False
49-S0-3,49,S0,b4c58570f88ebeac42bb65e3da67debef37c1945f0544b421513dc3721a96da7,1,1,1,1,0,1,False,False,2,,,[],,,0,False,3,coverage_lost_again,True
49-S0-4,49,S0,38100a39707ef9399acc5e4ca32d137c48e41fc8da463d881e43d2b887fca075,1,1,1,1,0,1,False,False,2,9,2,[4],18,4,3,True,0,rescued_to_vote,False
49-S0-5,49,S0,8fbb9d3e55f5f596dcea484db6598491f03cf5e98f9e8e1081ac333d81df577e,1,1,1,1,0,1,False,False,2,,,[],,,0,False,3,coverage_lost_again,True
49-S0-6,49,S0,a0fff51d451e031114e7c956fc98a17db1613a0c7393fcc8617a76ff719c1ae0,1,1,1,1,0,1,False,False,2,,,[],,,0,False,3,coverage_lost_again,True
49-S0-7,49,S0,b8cfcb730599812475ee246e4e5dd857c79331bdf3202761aa7a4acf893be2b5,1,1,1,1,0,1,False,False,2,,,[],,,0,False,3,coverage_lost_again,True
49-S0-8,49,S0,e5ea73458c15216da1433eb90dee13dd59e142b50b4277f2510ddd1340e29ebd,1,1,1,1,0,1,False,False,2,9,2,[4],13,3,3,True,0,rescued_to_vote,False
49-S0-9,49,S0,55d982ac6e7025a805e7a9ec459148237716daae0c5e6475fcd9b50da7120a0e,1,1,1,1,0,1,False,False,2,18,4,[3],,,2,False,1,reinforced_but_still_vote_wrong,False
49-S0-10,49,S0,ee1dcfbd373795a127fcb34436ef1934060be722821a8c054a9d77d723e91210,1,1,1,1,0,1,False,False,2,,,[],,,0,False,3,coverage_lost_again,True
49-S0-11,49,S0,fa905aa1108342ffe7464ff085f98ac61050842972cb97610d172f24fc300e52,1,1,1,1,0,1,False,False,2,9,2,[4],13,3,3,True,0,rescued_to_vote,False
49-S0-12,49,S0,db1522cb1e9faea66693043bdba783103f021f249ff6c80e50578f3e1395e18e,6,2,1,1,0,1,False,False,2,9,1,[4],13,2,3,True,0,rescued_to_vote,False
49-S0-13,49,S0,c71e4045e51e39498a9f8bd5f084e3d402588c84b0e5db4e870547eeb2d843bd,6,2,1,1,0,1,False,False,2,9,1,[4],13,2,3,True,0,rescued_to_vote,False
49-S0-14,49,S0,fd5520653af0e27c0dca4ecec5484299994533fd9cabde8f0a574789c9bc0b91,6,2,1,1,0,1,False,False,2,9,1,[4],13,2,3,True,0,rescued_to_vote,False
49-S0-15,49,S0,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,6,2,1,1,0,1,False,False,2,9,1,[4],13,2,3,True,0,rescued_to_vote,False
49-S0-16,49,S0,f64a3984529e409068310bc14ee855cee9ba35f94babcb79c9538c6019daeb12,6,2,1,1,0,1,False,False,2,9,1,[4],13,2,3,True,0,rescued_to_vote,False
49-S1-0,49,S1,395899214628d88ce3606f769ec8aa9bb61f260cfe3c2cb38b880cefaf567d88,0,1,0,0,0,1,False,False,2,1,1,[1],4,3,4,True,0,rescued_to_vote,False
49-S1-1,49,S1,db1522cb1e9faea66693043bdba783103f021f249ff6c80e50578f3e1395e18e,0,1,0,0,0,1,False,False,2,1,1,[1],4,3,4,True,0,rescued_to_vote,False
49-S1-2,49,S1,dd08d6581b3e3877846a4a99f992a9d9cfc9ff7c67f0036184d3a213c0f97ca1,0,1,0,0,0,1,False,False,2,1,1,[1],4,3,4,True,0,rescued_to_vote,False
49-S1-3,49,S1,c68b63186b95718140cb1dd3286d906e8b02b54173c26260c15c1ae8cad5eeb4,0,1,0,0,0,1,False,False,2,,,[],,,1,False,2,coverage_lost_again,True
49-S1-4,49,S1,38100a39707ef9399acc5e4ca32d137c48e41fc8da463d881e43d2b887fca075,0,1,0,0,0,1,False,False,2,4,3,[2],5,4,4,True,0,rescued_to_vote,False
49-S1-5,49,S1,fd5520653af0e27c0dca4ecec5484299994533fd9cabde8f0a574789c9bc0b91,0,1,0,0,0,1,False,False,2,1,1,[1],4,3,4,True,0,rescued_to_vote,False
49-S1-6,49,S1,e5ea73458c15216da1433eb90dee13dd59e142b50b4277f2510ddd1340e29ebd,0,1,0,0,0,1,False,False,2,1,1,[1],4,3,4,True,0,rescued_to_vote,False
49-S1-7,49,S1,55d982ac6e7025a805e7a9ec459148237716daae0c5e6475fcd9b50da7120a0e,0,1,0,0,0,1,False,False,2,4,3,[2],5,4,3,True,0,rescued_to_vote,False
49-S1-8,49,S1,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,0,1,0,0,0,1,False,False,2,1,1,[1],5,4,4,True,0,rescued_to_vote,False
49-S1-9,49,S1,f64a3984529e409068310bc14ee855cee9ba35f94babcb79c9538c6019daeb12,0,1,0,0,0,1,False,False,2,1,1,[1],4,3,4,True,0,rescued_to_vote,False
49-S1-10,49,S1,fa905aa1108342ffe7464ff085f98ac61050842972cb97610d172f24fc300e52,0,1,0,0,0,1,False,False,2,4,3,[2],5,4,4,True,0,rescued_to_vote,False
49-S1-11,49,S1,4e480785c7153bcca216b7f0d10c6385c7ce7ea28e098f3c41e9149f10b738cf,1,2,1,1,0,1,False,False,2,3,1,[0],,,1,False,2,singleton_until_end,False
49-S1-12,49,S1,c71e4045e51e39498a9f8bd5f084e3d402588c84b0e5db4e870547eeb2d843bd,1,2,1,1,0,1,False,False,2,4,2,[2],5,3,2,False,1,rescued_to_vote,False
49-S1-13,49,S1,8fbb9d3e55f5f596dcea484db6598491f03cf5e98f9e8e1081ac333d81df577e,3,3,0,0,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
49-S1-14,49,S1,a0fff51d451e031114e7c956fc98a17db1613a0c7393fcc8617a76ff719c1ae0,3,3,0,0,0,1,False,False,2,11,3,[1],,,1,False,2,singleton_until_end,False
49-S1-15,49,S1,a25893dde99448f79531912c0dc8e1fa1c208680d9854f351577121d4b5f534f,3,3,0,0,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
49-S1-16,49,S1,b8cfcb730599812475ee246e4e5dd857c79331bdf3202761aa7a4acf893be2b5,3,3,0,0,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
49-S1-17,49,S1,b4c58570f88ebeac42bb65e3da67debef37c1945f0544b421513dc3721a96da7,13,7,0,0,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
49-S1-18,49,S1,aaf47cda56f320e00a893f109d8bef05f81bef88e0646a2dfedc05620fb89ba8,13,7,0,0,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
49-S1-19,49,S1,790db948bdc0cf00e68ec747f91f0d67c6c598065d7a536119e844ed87c3b76d,13,7,0,0,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
49-S1-20,49,S1,c68b63186b95718140cb1dd3286d906e8b02b54173c26260c15c1ae8cad5eeb4,15,8,1,1,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
49-S1-21,49,S1,ee1dcfbd373795a127fcb34436ef1934060be722821a8c054a9d77d723e91210,15,8,1,1,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
49-S2-0,49,S2,395899214628d88ce3606f769ec8aa9bb61f260cfe3c2cb38b880cefaf567d88,0,1,0,0,0,1,False,False,2,1,1,[4],2,2,4,True,0,rescued_to_vote,False
49-S2-1,49,S2,db1522cb1e9faea66693043bdba783103f021f249ff6c80e50578f3e1395e18e,0,1,0,0,0,1,False,False,2,1,1,[4],2,2,3,True,0,rescued_to_vote,False
49-S2-2,49,S2,dd08d6581b3e3877846a4a99f992a9d9cfc9ff7c67f0036184d3a213c0f97ca1,0,1,0,0,0,1,False,False,2,1,1,[4],2,2,3,True,0,rescued_to_vote,False
49-S2-3,49,S2,38100a39707ef9399acc5e4ca32d137c48e41fc8da463d881e43d2b887fca075,0,1,0,0,0,1,False,False,2,2,2,[2],4,3,4,True,0,rescued_to_vote,False
49-S2-4,49,S2,8fbb9d3e55f5f596dcea484db6598491f03cf5e98f9e8e1081ac333d81df577e,0,1,0,0,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
49-S2-5,49,S2,c71e4045e51e39498a9f8bd5f084e3d402588c84b0e5db4e870547eeb2d843bd,0,1,0,0,0,1,False,False,2,1,1,[4],2,2,3,True,0,rescued_to_vote,False
49-S2-6,49,S2,fd5520653af0e27c0dca4ecec5484299994533fd9cabde8f0a574789c9bc0b91,0,1,0,0,0,1,False,False,2,1,1,[4],2,2,4,True,0,rescued_to_vote,False
49-S2-7,49,S2,e5ea73458c15216da1433eb90dee13dd59e142b50b4277f2510ddd1340e29ebd,0,1,0,0,0,1,False,False,2,1,1,[4],2,2,4,True,0,rescued_to_vote,False
49-S2-8,49,S2,55d982ac6e7025a805e7a9ec459148237716daae0c5e6475fcd9b50da7120a0e,0,1,0,0,0,1,False,False,2,1,1,[4],4,3,3,True,0,rescued_to_vote,False
49-S2-9,49,S2,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,0,1,0,0,0,1,False,False,2,1,1,[4],2,2,3,True,0,rescued_to_vote,False
49-S2-10,49,S2,f64a3984529e409068310bc14ee855cee9ba35f94babcb79c9538c6019daeb12,0,1,0,0,0,1,False,False,2,1,1,[4],2,2,4,True,0,rescued_to_vote,False
49-S2-11,49,S2,fa905aa1108342ffe7464ff085f98ac61050842972cb97610d172f24fc300e52,0,1,0,0,0,1,False,False,2,1,1,[4],2,2,4,True,0,rescued_to_vote,False
49-S2-12,49,S2,4e480785c7153bcca216b7f0d10c6385c7ce7ea28e098f3c41e9149f10b738cf,4,4,1,1,0,1,False,False,2,24,5,[4],,,2,False,1,reinforced_but_still_vote_wrong,False
49-S2-13,49,S2,c68b63186b95718140cb1dd3286d906e8b02b54173c26260c15c1ae8cad5eeb4,4,4,1,1,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
49-S2-14,49,S2,a25893dde99448f79531912c0dc8e1fa1c208680d9854f351577121d4b5f534f,4,4,1,1,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
49-S2-15,49,S2,a0fff51d451e031114e7c956fc98a17db1613a0c7393fcc8617a76ff719c1ae0,13,6,0,0,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
49-S2-16,49,S2,b8cfcb730599812475ee246e4e5dd857c79331bdf3202761aa7a4acf893be2b5,13,6,0,0,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
50-S0-0,50,S0,395899214628d88ce3606f769ec8aa9bb61f260cfe3c2cb38b880cefaf567d88,1,1,1,1,0,1,False,False,2,7,1,[2],14,2,3,True,0,rescued_to_vote,False
50-S0-1,50,S0,db1522cb1e9faea66693043bdba783103f021f249ff6c80e50578f3e1395e18e,1,1,1,1,0,1,False,False,2,7,1,[2],14,2,3,True,0,rescued_to_vote,False
50-S0-2,50,S0,dd08d6581b3e3877846a4a99f992a9d9cfc9ff7c67f0036184d3a213c0f97ca1,1,1,1,1,0,1,False,False,2,7,1,[2],14,2,3,True,0,rescued_to_vote,False
50-S0-3,50,S0,38100a39707ef9399acc5e4ca32d137c48e41fc8da463d881e43d2b887fca075,1,1,1,1,0,1,False,False,2,7,1,[2],14,2,3,True,0,rescued_to_vote,False
50-S0-4,50,S0,c71e4045e51e39498a9f8bd5f084e3d402588c84b0e5db4e870547eeb2d843bd,1,1,1,1,0,1,False,False,2,7,1,[2],14,2,3,True,0,rescued_to_vote,False
50-S0-5,50,S0,e5ea73458c15216da1433eb90dee13dd59e142b50b4277f2510ddd1340e29ebd,1,1,1,1,0,1,False,False,2,7,1,[2],14,2,3,True,0,rescued_to_vote,False
50-S0-6,50,S0,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,1,1,1,1,0,1,False,False,2,7,1,[2],14,2,3,True,0,rescued_to_vote,False
50-S0-7,50,S0,f64a3984529e409068310bc14ee855cee9ba35f94babcb79c9538c6019daeb12,1,1,1,1,0,1,False,False,2,7,1,[2],14,2,3,True,0,rescued_to_vote,False
50-S0-8,50,S0,fa905aa1108342ffe7464ff085f98ac61050842972cb97610d172f24fc300e52,1,1,1,1,0,1,False,False,2,14,2,[4],,,2,False,1,reinforced_but_still_vote_wrong,False
50-S0-9,50,S0,4e480785c7153bcca216b7f0d10c6385c7ce7ea28e098f3c41e9149f10b738cf,7,2,2,2,0,1,False,False,2,14,1,[4],,,2,False,1,reinforced_but_still_vote_wrong,False
50-S1-0,50,S1,395899214628d88ce3606f769ec8aa9bb61f260cfe3c2cb38b880cefaf567d88,1,1,3,3,0,1,False,False,2,4,2,[0],7,3,4,True,0,rescued_to_vote,False
50-S1-1,50,S1,4e480785c7153bcca216b7f0d10c6385c7ce7ea28e098f3c41e9149f10b738cf,1,1,3,3,0,1,False,False,2,7,3,[4],16,4,3,True,0,rescued_to_vote,False
50-S1-2,50,S1,db1522cb1e9faea66693043bdba783103f021f249ff6c80e50578f3e1395e18e,1,1,3,3,0,1,False,False,2,4,2,[0],16,4,3,True,0,rescued_to_vote,False
50-S1-3,50,S1,dd08d6581b3e3877846a4a99f992a9d9cfc9ff7c67f0036184d3a213c0f97ca1,1,1,3,3,0,1,False,False,2,4,2,[0],7,3,4,True,0,rescued_to_vote,False
50-S1-4,50,S1,38100a39707ef9399acc5e4ca32d137c48e41fc8da463d881e43d2b887fca075,1,1,3,3,0,1,False,False,2,7,3,[4],16,4,3,True,0,rescued_to_vote,False
50-S1-5,50,S1,c71e4045e51e39498a9f8bd5f084e3d402588c84b0e5db4e870547eeb2d843bd,1,1,3,3,0,1,False,False,2,4,2,[0],7,3,4,True,0,rescued_to_vote,False
50-S1-6,50,S1,e5ea73458c15216da1433eb90dee13dd59e142b50b4277f2510ddd1340e29ebd,1,1,3,3,0,1,False,False,2,4,2,[0],7,3,4,True,0,rescued_to_vote,False
50-S1-7,50,S1,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,1,1,3,3,0,1,False,False,2,4,2,[0],16,4,3,True,0,rescued_to_vote,False
50-S1-8,50,S1,f64a3984529e409068310bc14ee855cee9ba35f94babcb79c9538c6019daeb12,1,1,3,3,0,1,False,False,2,4,2,[0],7,3,4,True,0,rescued_to_vote,False
50-S1-9,50,S1,fa905aa1108342ffe7464ff085f98ac61050842972cb97610d172f24fc300e52,4,3,0,0,0,1,False,False,2,7,1,[4],31,4,3,True,0,rescued_to_vote,False
50-S1-10,50,S1,c68b63186b95718140cb1dd3286d906e8b02b54173c26260c15c1ae8cad5eeb4,7,4,4,4,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
50-S1-11,50,S1,ee1dcfbd373795a127fcb34436ef1934060be722821a8c054a9d77d723e91210,7,4,4,4,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
50-S2-0,50,S2,395899214628d88ce3606f769ec8aa9bb61f260cfe3c2cb38b880cefaf567d88,0,1,0,0,0,1,False,False,2,1,1,[3],2,2,4,True,0,rescued_to_vote,False
50-S2-1,50,S2,db1522cb1e9faea66693043bdba783103f021f249ff6c80e50578f3e1395e18e,0,1,0,0,0,1,False,False,2,1,1,[3],2,2,4,True,0,rescued_to_vote,False
50-S2-2,50,S2,dd08d6581b3e3877846a4a99f992a9d9cfc9ff7c67f0036184d3a213c0f97ca1,0,1,0,0,0,1,False,False,2,1,1,[3],2,2,4,True,0,rescued_to_vote,False
50-S2-3,50,S2,38100a39707ef9399acc5e4ca32d137c48e41fc8da463d881e43d2b887fca075,0,1,0,0,0,1,False,False,2,1,1,[3],13,6,3,True,0,rescued_to_vote,False
50-S2-4,50,S2,c71e4045e51e39498a9f8bd5f084e3d402588c84b0e5db4e870547eeb2d843bd,0,1,0,0,0,1,False,False,2,1,1,[3],2,2,3,True,0,rescued_to_vote,False
50-S2-5,50,S2,a0fff51d451e031114e7c956fc98a17db1613a0c7393fcc8617a76ff719c1ae0,0,1,0,0,0,1,False,False,2,19,8,[2],,,2,False,1,reinforced_but_still_vote_wrong,False
50-S2-6,50,S2,b8cfcb730599812475ee246e4e5dd857c79331bdf3202761aa7a4acf893be2b5,0,1,0,0,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
50-S2-7,50,S2,e5ea73458c15216da1433eb90dee13dd59e142b50b4277f2510ddd1340e29ebd,0,1,0,0,0,1,False,False,2,1,1,[3],2,2,4,True,0,rescued_to_vote,False
50-S2-8,50,S2,55d982ac6e7025a805e7a9ec459148237716daae0c5e6475fcd9b50da7120a0e,0,1,0,0,0,1,False,False,2,13,6,[2],,,2,False,1,reinforced_but_still_vote_wrong,False
50-S2-9,50,S2,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,0,1,0,0,0,1,False,False,2,1,1,[3],2,2,4,True,0,rescued_to_vote,False
50-S2-10,50,S2,f64a3984529e409068310bc14ee855cee9ba35f94babcb79c9538c6019daeb12,0,1,0,0,0,1,False,False,2,1,1,[3],2,2,4,True,0,rescued_to_vote,False
50-S2-11,50,S2,fa905aa1108342ffe7464ff085f98ac61050842972cb97610d172f24fc300e52,0,1,0,0,0,1,False,False,2,1,1,[3],2,2,4,True,0,rescued_to_vote,False
50-S2-12,50,S2,4e480785c7153bcca216b7f0d10c6385c7ce7ea28e098f3c41e9149f10b738cf,4,4,4,4,0,1,False,False,2,,,[],,,0,False,3,coverage_lost_again,True
50-S2-13,50,S2,e39c7bfc2d60a8ac6ae2571f14cc7b9c6092369df29244754b49bd6b186692b6,13,7,2,2,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
