seed,setting,update_index,accepted_update_rank,example_id,parent_G,child_G,correct_coalition_size,parent_wrong_coalition_sizes,child_wrong_coalition_sizes,target_agent_id,target_agent_newly_correct,repair_distance_parent,repair_distance_child
49,S0,13,4,fa905aa1108342ffe7464ff085f98ac61050842972cb97610d172f24fc300e52,2,3,3,[3],[2],3,True,1,0
49,S0,18,5,7819700aae5526ab2b28a4cf452b967bb4d51c4607c803366007933b80312d34,2,3,3,[3],[2],3,True,1,0
49,S0,18,5,dd08d6581b3e3877846a4a99f992a9d9cfc9ff7c67f0036184d3a213c0f97ca1,2,3,3,[3],[2],3,True,1,0
49,S0,18,5,38100a39707ef9399acc5e4ca32d137c48e41fc8da463d881e43d2b887fca075,2,3,3,[3],[2],3,True,1,0
49,S1,4,4,395899214628d88ce3606f769ec8aa9bb61f260cfe3c2cb38b880cefaf567d88,2,3,3,[3],[2],2,True,1,0
49,S1,4,4,db1522cb1e9faea66693043bdba783103f021f249ff6c80e50578f3e1395e18e,2,3,3,[3],[2],2,True,1,0
49,S1,4,4,dd08d6581b3e3877846a4a99f992a9d9cfc9ff7c67f0036184d3a213c0f97ca1,2,3,3,[3],[2],2,True,1,0
49,S1,4,4,fd5520653af0e27c0dca4ecec5484299994533fd9cabde8f0a574789c9bc0b91,2,3,3,[3],[2],2,True,1,0
49,S1,4,4,e5ea73458c15216da1433eb90dee13dd59e142b50b4277f2510ddd1340e29ebd,2,3,3,[3],[2],2,True,1,0
49,S1,4,4,f64a3984529e409068310bc14ee855cee9ba35f94babcb79c9538c6019daeb12,2,3,3,[3],[2],2,True,1,0
49,S1,5,5,38100a39707ef9399acc5e4ca32d137c48e41fc8da463d881e43d2b887fca075,2,3,3,[3],[2],4,True,1,0
49,S1,5,5,c71e4045e51e39498a9f8bd5f084e3d402588c84b0e5db4e870547eeb2d843bd,2,3,3,[3],[2],4,True,1,0
49,S1,5,5,55d982ac6e7025a805e7a9ec459148237716daae0c5e6475fcd9b50da7120a0e,2,3,3,[3],[2],4,True,1,0
49,S1,5,5,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,2,3,3,[3],[2],4,True,1,0
49,S1,5,5,fa905aa1108342ffe7464ff085f98ac61050842972cb97610d172f24fc300e52,2,3,3,[3],[2],4,True,1,0
49,S1,15,8,7819700aae5526ab2b28a4cf452b967bb4d51c4607c803366007933b80312d34,2,3,3,[3],[2],1,True,1,0
49,S2,2,3,395899214628d88ce3606f769ec8aa9bb61f260cfe3c2cb38b880cefaf567d88,2,3,3,[3],[2],2,True,1,0
49,S2,2,3,db1522cb1e9faea66693043bdba783103f021f249ff6c80e50578f3e1395e18e,2,3,3,[3],[2],2,True,1,0
49,S2,2,3,dd08d6581b3e3877846a4a99f992a9d9cfc9ff7c67f0036184d3a213c0f97ca1,2,3,3,[3],[2],2,True,1,0
49,S2,2,3,c71e4045e51e39498a9f8bd5f084e3d402588c84b0e5db4e870547eeb2d843bd,2,3,3,[3],[2],2,True,1,0
49,S2,2,3,fd5520653af0e27c0dca4ecec5484299994533fd9cabde8f0a574789c9bc0b91,2,3,3,[3],[2],2,True,1,0
49,S2,2,3,e5ea73458c15216da1433eb90dee13dd59e142b50b4277f2510ddd1340e29ebd,2,3,3,[3],[2],2,True,1,0
49,S2,2,3,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,2,3,3,[3],[2],2,True,1,0
49,S2,2,3,f64a3984529e409068310bc14ee855cee9ba35f94babcb79c9538c6019daeb12,2,3,3,[3],[2],2,True,1,0
49,S2,2,3,fa905aa1108342ffe7464ff085f98ac61050842972cb97610d172f24fc300e52,2,3,3,[3],[2],2,True,1,0
49,S2,4,4,38100a39707ef9399acc5e4ca32d137c48e41fc8da463d881e43d2b887fca075,2,3,3,[3],[2],1,True,1,0
49,S2,4,4,55d982ac6e7025a805e7a9ec459148237716daae0c5e6475fcd9b50da7120a0e,2,3,3,[3],[2],1,True,1,0
49,S2,14,7,169fb87183cfab9e52df3d990ad1595a342f8579aba1ec691683cd21219808fe,2,3,3,[3],[2],4,True,1,0
50,S0,14,3,395899214628d88ce3606f769ec8aa9bb61f260cfe3c2cb38b880cefaf567d88,2,3,3,[3],[2],4,True,1,0
50,S0,14,3,db1522cb1e9faea66693043bdba783103f021f249ff6c80e50578f3e1395e18e,2,3,3,[3],[2],4,True,1,0
50,S0,14,3,dd08d6581b3e3877846a4a99f992a9d9cfc9ff7c67f0036184d3a213c0f97ca1,2,3,3,[3],[2],4,True,1,0
