case_id,witness_type,seed,update_index,cell,selector,context,target_member,selection_relation,w1_rank,w1_score,base_opportunity_B,raw_direct_fix_D,raw_support_S,raw_uplift_deficit_d,Dhat,Shat,dhat,wait,normalized_wait,failure_count,failure_discount,historical_target_count,recent_target_count,historical_accepted_count,recent_accepted_count,historical_accepted_target_gain,historical_accepted_vote_gain,valid_source_count,valid_revision_count,feasible_count,critic_semantic_rejections,critic_exhausted,rejected_target_regression,rejected_team_vote_regression,rejected_no_progress,rejected_terminal_invalid,branch_winner,cell_winner,would_commit,train_target_delta,train_vote_delta,train_oracle_delta,validation_vote_delta,validation_oracle_delta,validation_target_delta
throughput_seed57_u4,throughput_witness,57,4,A,RR,GENERIC,0,rr_only,3,0.583333333,0.533333333,2,0,2,0.666666667,0.0,1.0,2,1.0,0,1.0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,,,,,,
throughput_seed57_u4,throughput_witness,57,4,A,RR,GENERIC,1,overlap,2,0.7,0.7,3,0,2,1.0,0.0,1.0,0,0.0,0,1.0,2,1,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,,,,,,
throughput_seed57_u4,throughput_witness,57,4,B,W1,GENERIC,4,w1_only,1,0.75,0.7,3,0,2,1.0,0.0,1.0,2,1.0,0,1.0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,,,,,,
throughput_seed57_u4,throughput_witness,57,4,B,W1,GENERIC,1,overlap,2,0.7,0.7,3,0,2,1.0,0.0,1.0,0,0.0,0,1.0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,,,,,,
throughput_seed57_u4,throughput_witness,57,4,C,RR,MEMBER_AWARE,0,rr_only,3,0.583333333,0.533333333,2,0,2,0.666666667,0.0,1.0,2,1.0,0,1.0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,,,,,,
throughput_seed57_u4,throughput_witness,57,4,C,RR,MEMBER_AWARE,1,overlap,2,0.7,0.7,3,0,2,1.0,0.0,1.0,0,0.0,0,1.0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,,,,,,
throughput_seed57_u4,throughput_witness,57,4,D,W1,MEMBER_AWARE,4,w1_only,1,0.75,0.7,3,0,2,1.0,0.0,1.0,2,1.0,0,1.0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,,,,,,
throughput_seed57_u4,throughput_witness,57,4,D,W1,MEMBER_AWARE,1,overlap,2,0.7,0.7,3,0,2,1.0,0.0,1.0,0,0.0,0,1.0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,,,,,,
throughput_seed56_u5,throughput_witness,56,5,A,RR,GENERIC,1,rr_only,4,0.108333333,0.083333333,1,0,0,0.166666667,0.0,0.0,1,0.5,0,1.0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,,,,,,
throughput_seed56_u5,throughput_witness,56,5,A,RR,GENERIC,2,overlap,1,0.5,0.5,6,0,0,1.0,0.0,0.0,0,0.0,0,1.0,2,1,1,1,3,5,0,0,0,2,1,0,0,0,0,0,0,0,,,,,,
throughput_seed56_u5,throughput_witness,56,5,B,W1,GENERIC,2,overlap,1,0.5,0.5,6,0,0,1.0,0.0,0.0,0,0.0,0,1.0,2,1,1,1,3,5,0,0,0,2,1,0,0,0,0,0,0,0,,,,,,
throughput_seed56_u5,throughput_witness,56,5,B,W1,GENERIC,4,w1_only,2,0.35,0.3,0,10,0,0.0,1.0,0.0,2,1.0,0,1.0,1,1,1,1,5,0,2,2,0,0,0,2,1,2,0,0,0,0,,,,,,
throughput_seed56_u5,throughput_witness,56,5,C,RR,MEMBER_AWARE,1,rr_only,4,0.108333333,0.083333333,1,0,0,0.166666667,0.0,0.0,1,0.5,0,1.0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,,,,,,
throughput_seed56_u5,throughput_witness,56,5,C,RR,MEMBER_AWARE,2,overlap,1,0.5,0.5,6,0,0,1.0,0.0,0.0,0,0.0,0,1.0,2,1,1,1,3,5,0,0,0,2,1,0,0,0,0,0,0,0,,,,,,
throughput_seed56_u5,throughput_witness,56,5,D,W1,MEMBER_AWARE,2,overlap,1,0.5,0.5,6,0,0,1.0,0.0,0.0,0,0.0,0,1.0,2,1,1,1,3,5,2,2,0,1,0,2,1,2,0,0,0,0,,,,,,
throughput_seed56_u5,throughput_witness,56,5,D,W1,MEMBER_AWARE,4,w1_only,2,0.35,0.3,0,10,0,0.0,1.0,0.0,2,1.0,0,1.0,1,1,1,1,5,0,1,0,0,0,0,1,1,1,0,0,0,0,,,,,,
neutral_seed56_u1,neutral_control,56,1,A,RR,GENERIC,3,overlap,1,0.3,0.3,0,18,0,0.0,1.0,0.0,0,0.0,0,1.0,1,1,1,1,5,0,2,1,0,0,0,2,0,2,0,0,0,1,,,,,,
neutral_seed56_u1,neutral_control,56,1,A,RR,GENERIC,4,rr_only,3,0.183333333,0.133333333,0,8,0,0.0,0.444444444,0.0,1,1.0,0,1.0,0,0,0,0,0,0,2,2,1,0,0,2,0,2,0,1,1,1,6,0,3,0,0,-1
neutral_seed56_u1,neutral_control,56,1,B,W1,GENERIC,3,overlap,1,0.3,0.3,0,18,0,0.0,1.0,0.0,0,0.0,0,1.0,1,1,1,1,5,0,2,2,0,0,0,2,0,2,0,0,0,1,,,,,,
neutral_seed56_u1,neutral_control,56,1,B,W1,GENERIC,1,w1_only,2,0.183333333,0.133333333,0,8,0,0.0,0.444444444,0.0,1,1.0,0,1.0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,1,1,1,4,0,1,0,0,-5
neutral_seed56_u1,neutral_control,56,1,C,RR,MEMBER_AWARE,3,overlap,1,0.3,0.3,0,18,0,0.0,1.0,0.0,0,0.0,0,1.0,1,1,1,1,5,0,1,1,1,1,0,0,0,0,0,1,1,1,2,0,0,0,-5,-7
neutral_seed56_u1,neutral_control,56,1,C,RR,MEMBER_AWARE,4,rr_only,3,0.183333333,0.133333333,0,8,0,0.0,0.444444444,0.0,1,1.0,0,1.0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,,,,,,
neutral_seed56_u1,neutral_control,56,1,D,W1,MEMBER_AWARE,3,overlap,1,0.3,0.3,0,18,0,0.0,1.0,0.0,0,0.0,0,1.0,1,1,1,1,5,0,0,0,0,2,1,0,0,0,0,0,0,1,,,,,,
neutral_seed56_u1,neutral_control,56,1,D,W1,MEMBER_AWARE,1,w1_only,2,0.183333333,0.133333333,0,8,0,0.0,0.444444444,0.0,1,1.0,0,1.0,0,0,0,0,0,0,2,2,2,0,0,2,0,2,0,1,1,1,6,0,3,0,1,-2
neutral_seed56_u3,neutral_control,56,3,A,RR,GENERIC,2,rr_only,3,0.408333333,0.375,3,0,0,0.75,0.0,0.0,2,0.666666667,0,1.0,1,1,0,0,0,0,2,2,4,0,0,0,0,0,0,1,1,1,9,8,0,1,0,-3
neutral_seed56_u3,neutral_control,56,3,A,RR,GENERIC,3,rr_only,4,0.3,0.3,0,14,0,0.0,1.0,0.0,0,0.0,0,1.0,3,3,1,1,5,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,2,,,
neutral_seed56_u3,neutral_control,56,3,B,W1,GENERIC,0,w1_only,1,0.55,0.5,4,0,0,1.0,0.0,0.0,3,1.0,0,1.0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,,,,,,
neutral_seed56_u3,neutral_control,56,3,B,W1,GENERIC,1,w1_only,2,0.516666667,0.5,4,0,0,1.0,0.0,0.0,1,0.333333333,0,1.0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,,,,,,
neutral_seed56_u3,neutral_control,56,3,C,RR,MEMBER_AWARE,2,rr_only,3,0.408333333,0.375,3,0,0,0.75,0.0,0.0,2,0.666666667,0,1.0,1,1,0,0,0,0,2,2,1,0,0,2,0,0,0,1,1,1,10,8,1,2,2,6
neutral_seed56_u3,neutral_control,56,3,C,RR,MEMBER_AWARE,3,rr_only,4,0.3,0.3,0,14,0,0.0,1.0,0.0,0,0.0,0,1.0,3,3,1,1,5,0,0,0,0,2,1,0,0,0,0,0,0,1,,,,,,
neutral_seed56_u3,neutral_control,56,3,D,W1,MEMBER_AWARE,0,w1_only,1,0.55,0.5,4,0,0,1.0,0.0,0.0,3,1.0,0,1.0,0,0,0,0,0,0,2,2,3,0,0,1,0,0,0,1,1,1,6,6,1,0,1,-3
neutral_seed56_u3,neutral_control,56,3,D,W1,MEMBER_AWARE,1,w1_only,2,0.516666667,0.5,4,0,0,1.0,0.0,0.0,1,0.333333333,0,1.0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,,,,,,
