dataset,homogeneity_delta_mean,intervention_effect_ci_high,intervention_effect_ci_low,intervention_effect_mean,mixed_count,mixed_mean_family_diversity,model,paired_question_count,same_count,same_mean_family_diversity,subject
mmlu,0.0,0.07535809022045786,0.07535809022045786,0.07535809022045786,1,0.34003852286413994,gpt-4o-mini,1,2,0.34036308554960704,human_aging
mmlu,0.008735056842575917,-0.17631606328690186,-0.17631606328690186,-0.17631606328690186,1,0.16372245957723808,qwen2.5-7b-instruct,1,2,0.3838819640721026,human_aging
mmlu,0.0,0.0,-0.07761782495424469,-0.03880891247712234,2,0.4547600988967776,deepseek-chat,2,4,0.5724299579391081,human_sexuality
mmlu,-0.12376792432145434,0.09278015384541405,0.0,0.046390076922707024,2,0.3779626907101265,gemini-2.5-flash-lite,2,4,0.3424213605423566,human_sexuality
mmlu,0.3295784606758195,-0.0487320310321695,-0.558199715753005,-0.30346587339258724,2,0.5191063998849574,gpt-4o-mini,2,4,0.6199942075075643,human_sexuality
mmlu,-0.1518526760190123,0.13063575480680067,0.09628361479999908,0.11345968480339988,2,0.5437512043450792,qwen2.5-7b-instruct,2,4,0.5020581828927623,human_sexuality
mmlu,-0.16974513076661124,0.14296883475106814,0.0,0.07148441737553407,2,0.25851992643738375,deepseek-chat,2,4,0.3450405414082667,international_law
mmlu,-0.07126142712038319,0.21897925643440247,-0.08726886046407545,0.06585519798516351,2,0.3442551172177185,gemini-2.5-flash-lite,2,4,0.24855905841364073,international_law
mmlu,0.12841816133268025,0.100957973066444,-0.2036840917551127,-0.051363059344334355,2,0.3329482551094054,gpt-4o-mini,2,4,0.4026304511970391,international_law
mmlu,-0.08678160171187607,0.25181475044951424,-0.11496487854967535,0.06842493594991944,2,0.4740090224545611,qwen2.5-7b-instruct,2,4,0.3723965468575518,international_law
mmlu,-0.11014245077609335,0.3402197366865593,-0.06374100971864549,0.1599020281632017,3,0.6425721204254846,deepseek-chat,3,6,0.4050475732531693,jurisprudence
mmlu,0.0029116856141919354,5.551115123125783e-17,-0.100957973066444,-0.03365265768881465,3,0.22249448067287203,gemini-2.5-flash-lite,3,6,0.2990207363394272,jurisprudence
mmlu,-0.16857858701299513,0.6049001693302413,-0.05983421798311778,0.18791058039762598,3,0.38497700934695483,gpt-4o-mini,3,6,0.26412359614910735,jurisprudence
mmlu,-0.029841186145725247,0.0516264307356078,-0.03679391158070633,0.02012610252219806,3,0.36494132252522515,qwen2.5-7b-instruct,3,6,0.3656031404084448,jurisprudence
mmlu,-0.1368974147361362,0.17078663213305434,0.17078663213305434,0.17078663213305434,1,0.6854752972273344,deepseek-chat,1,2,0.5000819811608073,logical_fallacies
mmlu,0.041913677952765016,-0.017792659402374844,-0.017792659402374844,-0.017792659402374844,1,0.3638568553684872,gemini-2.5-flash-lite,1,2,0.3727531850696746,logical_fallacies
mmlu,-0.13684247511205672,0.09917642272480515,0.09917642272480515,0.09917642272480515,1,0.3638568553684872,gpt-4o-mini,1,2,0.35266294112951424,logical_fallacies
mmlu,-0.27749824198147965,0.29975302912337115,0.29975302912337115,0.29975302912337115,1,0.46347548870060923,qwen2.5-7b-instruct,1,2,0.27939712575436276,logical_fallacies
mmlu,-0.17498241981479512,0.009510567837006878,0.009510567837006878,0.009510567837006878,1,0.45015601745235323,deepseek-chat,1,2,0.4630603734213404,machine_learning
mmlu,-0.008353550752360661,0.04754999198919735,0.04754999198919735,0.04754999198919735,1,0.3122304246328794,gemini-2.5-flash-lite,1,2,0.2646804326436821,machine_learning
mmlu,0.02303621542877221,-0.08150087142088874,-0.08150087142088874,-0.08150087142088874,1,0.39752013969226113,gpt-4o-mini,1,2,0.4598332303642481,machine_learning
mmlu,-0.11396613339697992,0.09295217678181278,0.09295217678181278,0.09295217678181278,1,0.7245424788475421,qwen2.5-7b-instruct,1,2,0.5328797937087307,machine_learning
mmlu,0.04270371765903891,-0.055536884642558015,-0.11148531020983876,-0.08351109742619839,2,0.4498986150335342,deepseek-chat,2,4,0.44718687995170686,management
mmlu,-0.004367528421287903,0.16372245957723808,0.13283970704857906,0.14828108331290857,2,0.2806212996347496,gemini-2.5-flash-lite,2,4,0.17633147056475712,management
mmlu,-0.0459194795375078,0.0024413495431679366,0.0,0.0012206747715839683,2,0.17123993620365394,gpt-4o-mini,2,4,0.28613520696199335,management
mmlu,-0.11986792375911112,0.2571663334438576,0.0591336499178714,0.1581499916808645,2,0.5119066405476217,qwen2.5-7b-instruct,2,4,0.38063519426143133,management
mmlu,-0.6087350568425759,0.6261739753041188,0.6261739753041188,0.6261739753041188,1,0.6261739753041188,deepseek-chat,1,2,0.2427376486136672,marketing
mmlu,-0.008735056842576028,0.100957973066444,0.100957973066444,0.100957973066444,1,0.2646804326436821,gemini-2.5-flash-lite,1,2,0.2623432535104596,marketing
mmlu,0.0,0.0,0.0,0.0,1,0.0,gpt-4o-mini,1,2,0.13234021632184104,marketing
mmlu,-0.3343815925694519,0.3122808226137807,0.3122808226137807,0.3122808226137807,1,0.4760032821910188,qwen2.5-7b-instruct,1,2,0.32459887840228624,marketing
