seed,update_index,target_agent_id,candidate_index,candidate_hash,variant,geometry_type,constraint_passed,globally_accepted,repair_set_gain_count,repair_set_loss_count,r1_repair_count,orphan_repair_count,vote_conversion_on_repair_set,repair_distance_reduction_count,P1_loss_count,P2_loss_count,P3_loss_count,total_preservation_violation_count,fixed_pool_aligned,evidence_level
48,1,0,1,d1ad747d52292f44fb1cca28a12a587918d60f1c265101358ec0dfaf54715e3f,C1_BOUNDARY_PROPAGATION,B,True,False,3,0,0,3,0,3,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,1,0,1,d1ad747d52292f44fb1cca28a12a587918d60f1c265101358ec0dfaf54715e3f,C2_BOUNDARY_PLUS_PRESERVATION,B,True,False,3,0,0,3,0,3,0,1,0,1,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,1,0,1,d1ad747d52292f44fb1cca28a12a587918d60f1c265101358ec0dfaf54715e3f,C3_COALITION_AWARE_PRESERVATION,B,True,False,3,0,0,3,0,3,0,1,0,1,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,2,4,0,81cf055bc793a679e597c6f5bbd357a4a88f77f4e89c4f06e3b7279482a191b8,C0_CURRENT_V15,E,False,False,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,2,4,0,81cf055bc793a679e597c6f5bbd357a4a88f77f4e89c4f06e3b7279482a191b8,C1_BOUNDARY_PROPAGATION,E,False,False,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,2,4,0,81cf055bc793a679e597c6f5bbd357a4a88f77f4e89c4f06e3b7279482a191b8,C2_BOUNDARY_PLUS_PRESERVATION,E,False,False,0,0,0,0,0,0,4,0,0,4,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,2,4,0,81cf055bc793a679e597c6f5bbd357a4a88f77f4e89c4f06e3b7279482a191b8,C3_COALITION_AWARE_PRESERVATION,E,False,False,0,0,0,0,0,0,4,0,0,4,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,2,4,1,9c5cccd5958060341a9f9e04a755f42c6be2b1026453ffbd005b4b662d50ec2d,C0_CURRENT_V15,A,True,True,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,2,4,1,9c5cccd5958060341a9f9e04a755f42c6be2b1026453ffbd005b4b662d50ec2d,C1_BOUNDARY_PROPAGATION,A,True,True,2,0,2,0,2,2,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,2,4,1,9c5cccd5958060341a9f9e04a755f42c6be2b1026453ffbd005b4b662d50ec2d,C2_BOUNDARY_PLUS_PRESERVATION,A,True,True,2,0,2,0,2,2,4,0,0,4,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
