seed_scope,variant,geometry_scope,violation_scope,candidate_count,any_preservation_violation_count,any_preservation_violation_rate,mean_preservation_loss_count
49,C1_BOUNDARY_PROPAGATION,D,ALL,11,0,0.0,0
49,C1_BOUNDARY_PROPAGATION,F,P1,63,0,0.0,0
49,C1_BOUNDARY_PROPAGATION,F,P2,63,0,0.0,0
49,C1_BOUNDARY_PROPAGATION,F,P1P2,63,0,0.0,0
49,C1_BOUNDARY_PROPAGATION,F,ALL,63,0,0.0,0
49,C1_BOUNDARY_PROPAGATION,DF,P1,74,0,0.0,0
49,C1_BOUNDARY_PROPAGATION,DF,P2,74,0,0.0,0
49,C1_BOUNDARY_PROPAGATION,DF,P1P2,74,0,0.0,0
49,C1_BOUNDARY_PROPAGATION,DF,ALL,74,0,0.0,0
49,C2_BOUNDARY_PLUS_PRESERVATION,AB,P1,12,1,0.08333333333333333,0.3333333333333333
49,C2_BOUNDARY_PLUS_PRESERVATION,AB,P2,12,4,0.3333333333333333,0.3333333333333333
49,C2_BOUNDARY_PLUS_PRESERVATION,AB,P1P2,12,5,0.4166666666666667,0.6666666666666666
49,C2_BOUNDARY_PLUS_PRESERVATION,AB,ALL,12,5,0.4166666666666667,0.6666666666666666
49,C2_BOUNDARY_PLUS_PRESERVATION,D,P1,11,11,1.0,1.9090909090909092
49,C2_BOUNDARY_PLUS_PRESERVATION,D,P2,11,6,0.5454545454545454,0.6363636363636364
49,C2_BOUNDARY_PLUS_PRESERVATION,D,P1P2,11,11,1.0,2.5454545454545454
49,C2_BOUNDARY_PLUS_PRESERVATION,D,ALL,11,11,1.0,2.5454545454545454
49,C2_BOUNDARY_PLUS_PRESERVATION,F,P1,63,48,0.7619047619047619,1.1587301587301588
49,C2_BOUNDARY_PLUS_PRESERVATION,F,P2,63,22,0.3492063492063492,0.3492063492063492
49,C2_BOUNDARY_PLUS_PRESERVATION,F,P1P2,63,50,0.7936507936507936,1.507936507936508
49,C2_BOUNDARY_PLUS_PRESERVATION,F,ALL,63,50,0.7936507936507936,1.507936507936508
49,C2_BOUNDARY_PLUS_PRESERVATION,DF,P1,74,59,0.7972972972972973,1.2702702702702702
49,C2_BOUNDARY_PLUS_PRESERVATION,DF,P2,74,28,0.3783783783783784,0.3918918918918919
49,C2_BOUNDARY_PLUS_PRESERVATION,DF,P1P2,74,61,0.8243243243243243,1.662162162162162
49,C2_BOUNDARY_PLUS_PRESERVATION,DF,ALL,74,61,0.8243243243243243,1.662162162162162
49,C3_COALITION_AWARE_PRESERVATION,AB,P1,12,1,0.08333333333333333,0.3333333333333333
49,C3_COALITION_AWARE_PRESERVATION,AB,P2,12,4,0.3333333333333333,0.3333333333333333
49,C3_COALITION_AWARE_PRESERVATION,AB,P1P2,12,5,0.4166666666666667,0.6666666666666666
49,C3_COALITION_AWARE_PRESERVATION,AB,ALL,12,5,0.4166666666666667,0.6666666666666666
49,C3_COALITION_AWARE_PRESERVATION,D,P1,11,11,1.0,1.9090909090909092
49,C3_COALITION_AWARE_PRESERVATION,D,P2,11,6,0.5454545454545454,0.6363636363636364
49,C3_COALITION_AWARE_PRESERVATION,D,P1P2,11,11,1.0,2.5454545454545454
49,C3_COALITION_AWARE_PRESERVATION,D,ALL,11,11,1.0,2.5454545454545454
49,C3_COALITION_AWARE_PRESERVATION,F,P1,63,48,0.7619047619047619,1.1587301587301588
49,C3_COALITION_AWARE_PRESERVATION,F,P2,63,22,0.3492063492063492,0.3492063492063492
49,C3_COALITION_AWARE_PRESERVATION,F,P1P2,63,50,0.7936507936507936,1.507936507936508
49,C3_COALITION_AWARE_PRESERVATION,F,ALL,63,50,0.7936507936507936,1.507936507936508
49,C3_COALITION_AWARE_PRESERVATION,DF,P1,74,59,0.7972972972972973,1.2702702702702702
49,C3_COALITION_AWARE_PRESERVATION,DF,P2,74,28,0.3783783783783784,0.3918918918918919
49,C3_COALITION_AWARE_PRESERVATION,DF,P1P2,74,61,0.8243243243243243,1.662162162162162
49,C3_COALITION_AWARE_PRESERVATION,DF,ALL,74,61,0.8243243243243243,1.662162162162162
50,C0_CURRENT_V15,AB,P1,11,0,0.0,0
50,C0_CURRENT_V15,AB,P2,11,0,0.0,0
50,C0_CURRENT_V15,AB,P1P2,11,0,0.0,0
50,C0_CURRENT_V15,AB,ALL,11,0,0.0,0
50,C0_CURRENT_V15,D,P1,7,0,0.0,0
50,C0_CURRENT_V15,D,P2,7,0,0.0,0
50,C0_CURRENT_V15,D,P1P2,7,0,0.0,0
50,C0_CURRENT_V15,D,ALL,7,0,0.0,0
50,C0_CURRENT_V15,F,P1,48,0,0.0,0
50,C0_CURRENT_V15,F,P2,48,0,0.0,0
50,C0_CURRENT_V15,F,P1P2,48,0,0.0,0
50,C0_CURRENT_V15,F,ALL,48,0,0.0,0
50,C0_CURRENT_V15,DF,P1,55,0,0.0,0
50,C0_CURRENT_V15,DF,P2,55,0,0.0,0
50,C0_CURRENT_V15,DF,P1P2,55,0,0.0,0
50,C0_CURRENT_V15,DF,ALL,55,0,0.0,0
50,C1_BOUNDARY_PROPAGATION,AB,P1,11,0,0.0,0
50,C1_BOUNDARY_PROPAGATION,AB,P2,11,0,0.0,0
50,C1_BOUNDARY_PROPAGATION,AB,P1P2,11,0,0.0,0
50,C1_BOUNDARY_PROPAGATION,AB,ALL,11,0,0.0,0
50,C1_BOUNDARY_PROPAGATION,D,P1,7,0,0.0,0
50,C1_BOUNDARY_PROPAGATION,D,P2,7,0,0.0,0
50,C1_BOUNDARY_PROPAGATION,D,P1P2,7,0,0.0,0
50,C1_BOUNDARY_PROPAGATION,D,ALL,7,0,0.0,0
50,C1_BOUNDARY_PROPAGATION,F,P1,48,0,0.0,0
50,C1_BOUNDARY_PROPAGATION,F,P2,48,0,0.0,0
50,C1_BOUNDARY_PROPAGATION,F,P1P2,48,0,0.0,0
50,C1_BOUNDARY_PROPAGATION,F,ALL,48,0,0.0,0
50,C1_BOUNDARY_PROPAGATION,DF,P1,55,0,0.0,0
50,C1_BOUNDARY_PROPAGATION,DF,P2,55,0,0.0,0
50,C1_BOUNDARY_PROPAGATION,DF,P1P2,55,0,0.0,0
50,C1_BOUNDARY_PROPAGATION,DF,ALL,55,0,0.0,0
50,C2_BOUNDARY_PLUS_PRESERVATION,AB,P1,11,3,0.2727272727272727,0.5454545454545454
50,C2_BOUNDARY_PLUS_PRESERVATION,AB,P2,11,2,0.18181818181818182,0.18181818181818182
50,C2_BOUNDARY_PLUS_PRESERVATION,AB,P1P2,11,5,0.45454545454545453,0.7272727272727273
50,C2_BOUNDARY_PLUS_PRESERVATION,AB,ALL,11,5,0.45454545454545453,0.7272727272727273
50,C2_BOUNDARY_PLUS_PRESERVATION,D,P1,7,7,1.0,2.4285714285714284
50,C2_BOUNDARY_PLUS_PRESERVATION,D,P2,7,0,0.0,0
50,C2_BOUNDARY_PLUS_PRESERVATION,D,P1P2,7,7,1.0,2.4285714285714284
50,C2_BOUNDARY_PLUS_PRESERVATION,D,ALL,7,7,1.0,2.4285714285714284
50,C2_BOUNDARY_PLUS_PRESERVATION,F,P1,48,24,0.5,0.9166666666666666
50,C2_BOUNDARY_PLUS_PRESERVATION,F,P2,48,5,0.10416666666666667,0.16666666666666666
50,C2_BOUNDARY_PLUS_PRESERVATION,F,P1P2,48,27,0.5625,1.0833333333333333
50,C2_BOUNDARY_PLUS_PRESERVATION,F,ALL,48,27,0.5625,1.0833333333333333
50,C2_BOUNDARY_PLUS_PRESERVATION,DF,P1,55,31,0.5636363636363636,1.1090909090909091
50,C2_BOUNDARY_PLUS_PRESERVATION,DF,P2,55,5,0.09090909090909091,0.14545454545454545
50,C2_BOUNDARY_PLUS_PRESERVATION,DF,P1P2,55,34,0.6181818181818182,1.2545454545454546
50,C2_BOUNDARY_PLUS_PRESERVATION,DF,ALL,55,34,0.6181818181818182,1.2545454545454546
50,C3_COALITION_AWARE_PRESERVATION,AB,P1,11,3,0.2727272727272727,0.5454545454545454
50,C3_COALITION_AWARE_PRESERVATION,AB,P2,11,2,0.18181818181818182,0.18181818181818182
50,C3_COALITION_AWARE_PRESERVATION,AB,P1P2,11,5,0.45454545454545453,0.7272727272727273
50,C3_COALITION_AWARE_PRESERVATION,AB,ALL,11,5,0.45454545454545453,0.7272727272727273
50,C3_COALITION_AWARE_PRESERVATION,D,P1,7,7,1.0,2.4285714285714284
50,C3_COALITION_AWARE_PRESERVATION,D,P2,7,0,0.0,0
50,C3_COALITION_AWARE_PRESERVATION,D,P1P2,7,7,1.0,2.4285714285714284
50,C3_COALITION_AWARE_PRESERVATION,D,ALL,7,7,1.0,2.4285714285714284
50,C3_COALITION_AWARE_PRESERVATION,F,P1,48,24,0.5,0.9166666666666666
50,C3_COALITION_AWARE_PRESERVATION,F,P2,48,5,0.10416666666666667,0.16666666666666666
50,C3_COALITION_AWARE_PRESERVATION,F,P1P2,48,27,0.5625,1.0833333333333333
50,C3_COALITION_AWARE_PRESERVATION,F,ALL,48,27,0.5625,1.0833333333333333
50,C3_COALITION_AWARE_PRESERVATION,DF,P1,55,31,0.5636363636363636,1.1090909090909091
50,C3_COALITION_AWARE_PRESERVATION,DF,P2,55,5,0.09090909090909091,0.14545454545454545
50,C3_COALITION_AWARE_PRESERVATION,DF,P1P2,55,34,0.6181818181818182,1.2545454545454546
50,C3_COALITION_AWARE_PRESERVATION,DF,ALL,55,34,0.6181818181818182,1.2545454545454546
all,C0_CURRENT_V15,AB,P1,33,0,0.0,0
all,C0_CURRENT_V15,AB,P2,33,0,0.0,0
all,C0_CURRENT_V15,AB,P1P2,33,0,0.0,0
all,C0_CURRENT_V15,AB,ALL,33,0,0.0,0
all,C0_CURRENT_V15,D,P1,30,0,0.0,0
all,C0_CURRENT_V15,D,P2,30,0,0.0,0
all,C0_CURRENT_V15,D,P1P2,30,0,0.0,0
all,C0_CURRENT_V15,D,ALL,30,0,0.0,0
all,C0_CURRENT_V15,F,P1,173,0,0.0,0
all,C0_CURRENT_V15,F,P2,173,0,0.0,0
all,C0_CURRENT_V15,F,P1P2,173,0,0.0,0
all,C0_CURRENT_V15,F,ALL,173,0,0.0,0
all,C0_CURRENT_V15,DF,P1,203,0,0.0,0
all,C0_CURRENT_V15,DF,P2,203,0,0.0,0
all,C0_CURRENT_V15,DF,P1P2,203,0,0.0,0
all,C0_CURRENT_V15,DF,ALL,203,0,0.0,0
all,C1_BOUNDARY_PROPAGATION,AB,P1,33,0,0.0,0
all,C1_BOUNDARY_PROPAGATION,AB,P2,33,0,0.0,0
all,C1_BOUNDARY_PROPAGATION,AB,P1P2,33,0,0.0,0
all,C1_BOUNDARY_PROPAGATION,AB,ALL,33,0,0.0,0
all,C1_BOUNDARY_PROPAGATION,D,P1,30,0,0.0,0
all,C1_BOUNDARY_PROPAGATION,D,P2,30,0,0.0,0
all,C1_BOUNDARY_PROPAGATION,D,P1P2,30,0,0.0,0
all,C1_BOUNDARY_PROPAGATION,D,ALL,30,0,0.0,0
all,C1_BOUNDARY_PROPAGATION,F,P1,173,0,0.0,0
all,C1_BOUNDARY_PROPAGATION,F,P2,173,0,0.0,0
all,C1_BOUNDARY_PROPAGATION,F,P1P2,173,0,0.0,0
all,C1_BOUNDARY_PROPAGATION,F,ALL,173,0,0.0,0
all,C1_BOUNDARY_PROPAGATION,DF,P1,203,0,0.0,0
all,C1_BOUNDARY_PROPAGATION,DF,P2,203,0,0.0,0
all,C1_BOUNDARY_PROPAGATION,DF,P1P2,203,0,0.0,0
all,C1_BOUNDARY_PROPAGATION,DF,ALL,203,0,0.0,0
all,C2_BOUNDARY_PLUS_PRESERVATION,AB,P1,33,5,0.15151515151515152,0.42424242424242425
all,C2_BOUNDARY_PLUS_PRESERVATION,AB,P2,33,11,0.3333333333333333,0.3333333333333333
all,C2_BOUNDARY_PLUS_PRESERVATION,AB,P1P2,33,16,0.48484848484848486,0.7575757575757576
all,C2_BOUNDARY_PLUS_PRESERVATION,AB,ALL,33,16,0.48484848484848486,0.7575757575757576
all,C2_BOUNDARY_PLUS_PRESERVATION,D,P1,30,30,1.0,2.533333333333333
all,C2_BOUNDARY_PLUS_PRESERVATION,D,P2,30,7,0.23333333333333334,0.26666666666666666
all,C2_BOUNDARY_PLUS_PRESERVATION,D,P1P2,30,30,1.0,2.8
all,C2_BOUNDARY_PLUS_PRESERVATION,D,ALL,30,30,1.0,2.8
all,C2_BOUNDARY_PLUS_PRESERVATION,F,P1,173,109,0.630057803468208,0.9479768786127167
all,C2_BOUNDARY_PLUS_PRESERVATION,F,P2,173,32,0.18497109826589594,0.2023121387283237
all,C2_BOUNDARY_PLUS_PRESERVATION,F,P1P2,173,116,0.6705202312138728,1.1502890173410405
all,C2_BOUNDARY_PLUS_PRESERVATION,F,ALL,173,116,0.6705202312138728,1.1502890173410405
all,C2_BOUNDARY_PLUS_PRESERVATION,DF,P1,203,139,0.6847290640394089,1.1822660098522169
all,C2_BOUNDARY_PLUS_PRESERVATION,DF,P2,203,39,0.1921182266009852,0.21182266009852216
all,C2_BOUNDARY_PLUS_PRESERVATION,DF,P1P2,203,146,0.7192118226600985,1.3940886699507389
all,C2_BOUNDARY_PLUS_PRESERVATION,DF,ALL,203,146,0.7192118226600985,1.3940886699507389
all,C3_COALITION_AWARE_PRESERVATION,AB,P1,33,5,0.15151515151515152,0.42424242424242425
all,C3_COALITION_AWARE_PRESERVATION,AB,P2,33,11,0.3333333333333333,0.3333333333333333
all,C3_COALITION_AWARE_PRESERVATION,AB,P1P2,33,16,0.48484848484848486,0.7575757575757576
all,C3_COALITION_AWARE_PRESERVATION,AB,ALL,33,16,0.48484848484848486,0.7575757575757576
all,C3_COALITION_AWARE_PRESERVATION,D,P1,30,30,1.0,2.533333333333333
all,C3_COALITION_AWARE_PRESERVATION,D,P2,30,7,0.23333333333333334,0.26666666666666666
all,C3_COALITION_AWARE_PRESERVATION,D,P1P2,30,30,1.0,2.8
all,C3_COALITION_AWARE_PRESERVATION,D,ALL,30,30,1.0,2.8
all,C3_COALITION_AWARE_PRESERVATION,F,P1,173,109,0.630057803468208,0.9479768786127167
all,C3_COALITION_AWARE_PRESERVATION,F,P2,173,32,0.18497109826589594,0.2023121387283237
all,C3_COALITION_AWARE_PRESERVATION,F,P1P2,173,116,0.6705202312138728,1.1502890173410405
all,C3_COALITION_AWARE_PRESERVATION,F,ALL,173,116,0.6705202312138728,1.1502890173410405
all,C3_COALITION_AWARE_PRESERVATION,DF,P1,203,139,0.6847290640394089,1.1822660098522169
all,C3_COALITION_AWARE_PRESERVATION,DF,P2,203,39,0.1921182266009852,0.21182266009852216
all,C3_COALITION_AWARE_PRESERVATION,DF,P1P2,203,146,0.7192118226600985,1.3940886699507389
all,C3_COALITION_AWARE_PRESERVATION,DF,ALL,203,146,0.7192118226600985,1.3940886699507389
